unique(temp$sendID) recParty
C00147512 DEM
C00147975 DEM
C00147983 REP
C00148031 REP
C00148155 DEM
C00148510 REP
C00149013 DEM
C00149104 REP
C00149948 DEM
C00150367 REP
C00150797 REP
C00150995 REP
C00151019 DEM
C00151340 DEM
C00153171 REP
C00153379 DEM
C00153445 REP
C00153577 REP
C00154104 REP
C00155366 DEM
C00156166 DEM
C00156935 DEM
C00157537 REP
C00157545 DEM
C00158576 DEM
C00158881 REP
C00159954 DEM
C00160770 REP
C00160838 REP
C00161141 DEM
C00161265 REP
C00161570 REP
C00161604 REP
C00161901 REP
C00162735 REP
C00162818 DEM
C00163048 DEM
C00163311 REP
C00163832 REP
C00164145 REP
C00164152 DEM
C00164509 DEM
C00164848 DEM
C00164939 REP
C00165282 DEM
C00165589 REP
C00166348 DEM
C00166355 REP
C00167684 REP
C00167759 REP
C00168070 REP
C00168203 DEM
C00168864 REP
C00169821 REP
C00170258 REP
C00170316 DEM
C00171330 REP
C00171843 REP
C00171926 REP
C00172296 DEM
C00172387 DEM
C00172833 REP
C00172841 REP
C00173153 DEM
C00173393 REP
C00174227 REP
C00174367 DEM
C00174599 REP
C00176214 DEM
C00176727 DEM
C00177436 REP
C00177469 REP
C00181529 REP
C00181826 REP
C00184028 REP
C00185520 REP
C00185694 DEM
C00186288 REP
C00188011 REP
C00188177 REP
C00188193 DEM
C00192153 DEM
C00193177 REP
C00193383 DEM
C00193433 DEM
C00193631 REP
C00193854 DEM
C00193979 DEM
C00194084 REP
C00194126 REP
C00194746 REP
C00195024 DEM
C00195362 REP
C00195388 REP
C00195628 DEM
C00196089 REP
C00196246 REP
C00196428 DEM
C00196725 REP
C00196915 DEM
C00197095 REP
C00197228 REP
C00197715 REP
C00197749 REP
C00198606 DEM
C00199257 REP
C00199497 DEM
C00199547 DEM
C00199703 REP
C00199711 DEM
C00199950 DEM
C00200139 DEM
C00200659 DEM
C00201871 REP
C00202804 DEM
C00203521 DEM
C00204099 REP
C00204180 DEM
C00204388 DEM
C00204453 REP
C00205369 REP
C00207472 REP
C00207969 REP
C00210666 REP
C00211250 REP
C00211318 REP
C00212092 DEM
C00212423 DEM
C00213066 REP
C00213074 REP
C00213173 REP
C00213512 DEM
C00213819 DEM
C00214304 REP
C00214338 REP
C00214981 REP
C00215046 DEM
C00215236 REP
C00215285 REP
C00215384 REP
C00216127 REP
C00216614 DEM
C00216895 REP
C00217323 DEM
C00217638 REP
C00217877 REP
C00218263 DEM
C00219444 DEM
C00219642 REP
C00219717 REP
C00220558 DEM
C00220764 DEM
C00221077 REP
C00224147 DEM
C00225342 REP
C00226472 REP
C00227546 REP
C00227744 REP
C00228379 DEM
C00229203 REP
C00230789 DEM
C00232843 DEM
C00233247 REP
C00234120 REP
C00235036 REP
C00235309 DEM
C00235739 REP
