sendID state amount
C00000901 AK 5000
C00000984 AK 5000
C00001198 AK 1000
C00003806 AK 121
C00004036 AK 9174
C00004325 AK 4000
C00004473 AK 5000
C00007880 AK 600
C00007922 AK 5000
C00008474 AK 150
C00009282 AK 5000
C00009985 AK 5000
C00010082 AK 3000
C00010421 AK 5000
C00010470 AK 2000
C00021295 AK 2500
C00024349 AK 1000
C00024869 AK 4000
C00027342 AK 5000
C00027466 AK 259
C00027532 AK 4500
C00029447 AK 4559
C00029504 AK 5000
C00032573 AK 1000
C00034488 AK 1500
C00035006 AK 3000
C00035683 AK 5000
C00035691 AK 1500
C00039164 AK 1000
C00039503 AK 5000
C00040394 AK 1000
C00042366 AK 2323980
C00043992 AK 15
C00046474 AK 1000
C00053553 AK 86398
C00068692 AK 5000
C00075358 AK 2300
C00076133 AK 1000
C00078261 AK 4000
C00078451 AK 5000
C00082917 AK 5000
C00088591 AK 5000
C00089342 AK 2000
C00096156 AK 3000
C00097550 AK 1000
C00097568 AK 5000
C00100305 AK 1000
C00101204 AK 5000
C00101725 AK 3000
C00101766 AK 3000
C00103549 AK 500
C00107300 AK 3500
C00109546 AK 5000
C00111278 AK 8242
C00112680 AK 1000
C00114108 AK 1000
C00114694 AK 3000
C00117861 AK 1000
C00122101 AK 2000
C00123612 AK 2000
C00124016 AK 2000
C00125641 AK 1000
C00135590 AK 1000
C00138560 AK 2000
C00139741 AK 2000
C00141747 AK 5000
C00144584 AK 1000
C00147173 AK 3500
C00150797 AK 2500
C00151340 AK 500
C00151787 AK 1000
C00152892 AK 1000
C00161570 AK 500
C00163253 AK 1000
C00163311 AK 500
C00163832 AK 5000
C00167668 AK 1000
C00169508 AK 3500
C00174227 AK 2500
C00186288 AK 3250
C00194746 AK 500
C00195263 AK 2500
C00197749 AK 4000
C00199869 AK 1000
C00201863 AK 500
C00202861 AK 5000
C00205369 AK 3000
C00211318 AK 2000
C00215285 AK 3000
C00216556 AK 5000
C00225342 AK 2500
C00225524 AK 3000
C00227546 AK 4000
C00231951 AK 2000
C00232629 AK 2000
C00235572 AK 5000
C00235655 AK 5000
C00235739 AK 5000
C00236489 AK 5000
C00236778 AK 1500
C00236810 AK 2000
C00247403 AK 5000
C00248195 AK 1000
C00248716 AK 5000
C00250209 AK 5000
C00250399 AK 5000
C00251447 AK 1000
C00255257 AK 1000
C00257402 AK 1000
C00261339 AK 1000
C00262295 AK 5000
C00275123 AK 2000
C00279216 AK 2000
C00280321 AK 1000
C00280743 AK 4000
C00282921 AK 2000
C00284885 AK 4000
C00285098 AK 5000
C00296822 AK 2500
C00300418 AK 5000
C00300483 AK 5000
C00303024 AK 5000
C00304477 AK 2500
C00319723 AK 1000
C00325993 AK 5000
C00331827 AK 5000
C00332643 AK 5000
C00335414 AK 2000
C00339499 AK 1000
C00341396 AK 1074
C00343137 AK 2000
C00343947 AK 5000
C00344770 AK 1000
C00345199 AK 1000
C00347401 AK 4600
C00354308 AK 5000
C00357285 AK 2300
C00361758 AK 5000
C00364109 AK 2000
C00364596 AK 5000
C00365551 AK 5000
