Name,wDeg,deg,wPageRank,pageRank,wEig,eig,com,lCom
C00000059,24500,7,0.000108237292607277,0.000240045231894127,2.47812362153543e-05,0.000467637165218969,1,8
AK,4850567,369,0.0103414920539488,0.0110241196617003,0.00548462301416942,0.00385537070753487,1,8
C00000885,88400,20,0.000278761485448962,0.000596273968198546,9.1413956081467e-05,0.00116507515317113,1,7
C00000901,118500,25,0.000414557500785605,0.000711667560039219,6.39286190120437e-05,0.0014346467079514,2,2
C00001198,57500,22,0.000224292675609187,0.000638567774929728,3.84796400490185e-05,0.00124490959421325,2,1
C00001636,126750,25,0.000410369276944191,0.000720165338370252,0.0001097511668434,0.00143493776916162,1,10
C00002261,62500,18,0.000250479643975942,0.000527577794946763,4.39376606482056e-05,0.00111449670071582,1,6
C00002766,338282,24,0.000679624465831072,0.000694483181797394,0.000313057269661339,0.00130275173953104,1,6
C00002956,23000,12,0.000112521289608129,0.000384613687324991,3.10163511890721e-05,0.000740654177824829,1,8
C00002972,97000,24,0.00039421824393653,0.000674588356366317,5.02214007131333e-05,0.00120202861210181,2,6
C00003251,131000,25,0.000426330038900384,0.000716560119110985,0.0001063937987039,0.00140755277943428,1,10
C00003764,101000,22,0.000321711518632363,0.000639191183010261,8.44018917837071e-05,0.00128637443411117,1,2
C00003806,67500,16,0.000187361378469022,0.000483001739380493,8.29593646964873e-05,0.000973537670955459,1,11
C00004036,361884,22,0.00075052913960417,0.000635853145799054,0.000408519133279076,0.00124246929050893,1,10
C00004275,141500,27,0.000485523789569343,0.000758038006198317,7.63744437727492e-05,0.00151338568028143,2,8
C00004325,38700,8,0.000142077293697314,0.000280598297306477,4.35383341432771e-05,0.000502710755759775,1,7
C00004473,54150,20,0.000267120783407723,0.000574085073306276,7.18004618681276e-06,0.00100176310242833,2,7
C00005157,59000,17,0.000171167821641353,0.000507675814448623,8.39315513179803e-05,0.00101468825009914,1,11
C00007450,21500,19,0.000116794797469646,0.000548334624581912,1.46201834440407e-05,0.00111042918409827,1,6
C00007948,50000,12,0.000236948554729959,0.000362379324110602,7.88893835425143e-06,0.000627788884579874,2,6
C00008409,5000,1,6.50667011916037e-05,8.13069502143364e-05,1.03252199875218e-06,5.05228532834816e-05,1,8
C00008474,44500,12,0.000189878343149435,0.000363212544198852,2.48443740850151e-05,0.000707684145024083,2,6
