Name,wDeg,deg,wPageRank,pageRank,wEig,eig
C00000042,53000,13,0.000288901949453695,0.000435560670109766,0.000298516624292026,0.000891269730980958
AZ,5133780,444,0.0204645016975392,0.0149967680399563,0.0362228592586445,0.00476488594340251
C00000729,113000,22,0.000593400101640608,0.000688154017318652,0.000153627250465797,0.00130660025397211
C00000885,88500,20,0.000432428050186415,0.000642678553398856,0.000408028724136022,0.00127713765163706
C00000901,111000,22,0.00056909135285072,0.000688556151745217,0.000325185582818111,0.001343172685213
C00001016,82500,16,0.000418722365562396,0.000524553011946503,0.000414017676300036,0.00103227998192895
C00001198,44000,17,0.000248503304301675,0.000550057987725254,0.000185730684653045,0.00108772384805948
C00001727,49500,17,0.000257762596860597,0.000547081659617879,0.000243954752101559,0.001201939789373
C00002089,88350,17,0.000429088998721815,0.000549395647506909,0.000270947058829074,0.00110618892537558
C00002469,115000,23,0.000572793392104334,0.000727075757899822,0.000413078125863793,0.00136750244499378
C00002766,121500,24,0.00059459952456776,0.000750410490564896,0.000404343771020551,0.00145134875844825
C00002840,83500,19,0.000426398348164669,0.000613092178595154,0.00040922152231404,0.00116831251956851
C00002881,46000,19,0.000267508900984633,0.000603389961254607,0.000139440611015066,0.00120017855551813
C00003251,127000,25,0.000623525677704463,0.000777664848411331,0.000445835737367293,0.00152661874803334
C00003764,99000,19,0.000466105900720936,0.000603625095289114,0.000637993809989306,0.00128588328367785
C00003806,85000,22,0.000416340905896065,0.000697421306287873,0.000448506475180782,0.00132637044167966
C00004036,677210,21,0.00267818825561004,0.000665543236422365,0.004258381018908,0.00129579976978576
C00004275,121000,22,0.000579062362384241,0.000684376346091523,0.000446532285991822,0.00140938639998833
C00004325,48900,15,0.000264798957548687,0.000499761559542986,0.000289756128652246,0.000907434477161229
C00004861,104000,21,0.000536974460637162,0.00066791777129202,0.00043770014077445,0.00128122868262273
C00005249,135000,24,0.000668444007096106,0.000749884260610835,0.000363584686241907,0.00142788844258266
C00007542,105000,21,0.000550119959384829,0.000664337537562172,0.000186066866246739,0.00125969865703195
C00007898,70000,16,0.000352834710434115,0.000523620693978738,0.000360806021525821,0.00112584285560946
C00007922,49000,13,0.00026338144564842,0.000434234123916596,0.000119621334475129,0.000789932590283879
C00009704,19141,12,0.000130908883895379,0.000406808191230107,0.000147039635393608,0.000903408108366897
C00009936,97000,21,0.00047961520217524,0.000660866355222027,0.000485927851558023,0.00134877974928944
C00010322,94343,18,0.000463606820442714,0.000581368261394342,0.000366360429189083,0.0011468230750563
C00010421,105000,19,0.000514671903336043,0.000608468442446334,0.000448226461680488,0.0012964535807065
C00010470,95000,19,0.000474421007903468,0.000598496914108652,0.000160317631320609,0.0011551021396526
C00011114,120000,24,0.000599514972977663,0.000752378436421857,0.000441487279629083,0.00145364095079108
C00011262,37500,10,0.000203548438699155,0.000351221032234827,0.000161392009887206,0.000710594665103916
C00012880,61500,14,0.000353042396682873,0.000464401289181757,6.882875035386e-05,0.000814854055520813
C00014555,45287,16,0.000260080614760398,0.000511875165016331,0.000103270194995126,0.000946230014311782
C00015933,16500,6,0.000123475245212932,0.000227180833613559,8.96258232584977e-05,0.000411920153802342
C00016386,84000,21,0.000415997317652077,0.000660864180504531,0.000423541957935217,0.00139491518637956
C00016683,106250,24,0.0005566278744674,0.000748692825456162,0.000224829307379649,0.00146629218114305
C00017525,37000,14,0.000207157767967272,0.0004596177911633,0.000123974935404565,0.000754821466286242
C00018036,57500,15,0.000314109488829373,0.000489502276422906,0.000129835395027969,0.00102917423072976
C00023580,97000,21,0.000464686315086604,0.000662629710542486,0.000441316326350588,0.00136279567935602
C00024521,113500,23,0.000558641943726996,0.000725966672034493,0.00044169305402524,0.00143377210877198
C00025536,19000,7,0.000166423514602537,0.000266984061869695,2.73596978426842e-05,0.000304251407081915
C00027342,88700,18,0.000445905227866431,0.000573149007859995,0.000221510641480919,0.00120935383735974
C00027359,111500,24,0.000561766270446603,0.000752997430787279,0.0003796305607712,0.0014948185701485
C00028787,59500,12,0.000305036316156208,0.000409306902572628,0.000228260757163082,0.000924525096592237
C00028860,60000,12,0.000303908471767766,0.000401037204319697,0.000150981371188835,0.000781843092743877
C00029447,423945,25,0.0018365172338646,0.000777983136305748,0.000803433368315336,0.00153890182762873
C00029504,113000,23,0.000556238727140128,0.000719040701053257,0.000430788433326444,0.00147310897824262
C00030718,163228,30,0.000829436749705135,0.000921906971625506,0.000456104977271164,0.00176079837088956
C00030734,18424,8,0.000134937388905091,0.000286519007969409,3.74604179199457e-05,0.00060136211068004
C00032797,6000,3,8.74844387786439e-05,0.000144807330998838,9.33614621599905e-06,0.000178303469710078
C00032979,93615,19,0.000468273175696481,0.000599816964663821,0.000281027958639136,0.00110375497971956
C00032995,81000,17,0.00038167306715509,0.0005511439084718,0.000439411528364237,0.00113287573436049
C00033555,75000,15,0.00037587771053249,0.000489133715162281,0.000423881264520184,0.00106683557143491
C00033779,115000,26,0.000593598574759504,0.000807833995510564,0.000285920313825096,0.0015951752028756
C00033977,5500,4,7.93632565403325e-05,0.000171812650357506,2.34131757817578e-05,0.000248808940414572
C00034157,138500,29,0.000681031373022317,0.00089640539415973,0.0004949728800865,0.00175461682062621
C00034595,85000,18,0.000429419173162445,0.000577134806372939,0.00018185979078163,0.00114421167777997
C00034728,10000,10,9.62305210065812e-05,0.000346091469930414,4.66475088070589e-05,0.000795586160015639
C00035006,82500,17,0.000430351447146004,0.00053938455570169,0.000156724521060094,0.00110875868024436
C00035204,9500,6,9.87459550553944e-05,0.000228561260780988,2.28947840576016e-05,0.000394953577377468
C00035519,16500,6,0.000124660218701521,0.000234606929918848,0.000134828366124788,0.000464076936695775
C00035691,83000,18,0.000412128651505301,0.000575182665711291,0.00040250024745177,0.00122528586480881
C00039578,61899,16,0.000331188234377901,0.000515940918183978,0.000263469274965237,0.00107291565655662
C00040329,36500,16,0.000213131167837322,0.000516486520598165,0.000102326218209647,0.00111679363015389
C00040535,38000,11,0.000244607519214403,0.000378137205712812,0.000202002151392238,0.000644399660081113
C00040725,10000,7,0.000104111863817438,0.00026712954123137,8.2096706915034e-05,0.000486654046399157
C00040998,145000,24,0.000741592617295259,0.00075582498746175,0.00028361317678131,0.00146798472796361
C00041590,15000,3,0.000117154109018444,0.00014737812908497,5.3270841927378e-05,0.000203441407043597
C00042366,1704258,15,0.00653278549787482,0.000495009719012609,0.00408610727341426,0.00106093749351167
C00043992,15562,9,0.000116660445913113,0.000317600178719666,9.01647991454483e-05,0.000634813440802895
C00048579,15000,8,0.000123499807952362,0.000284031658172963,4.87627082082332e-05,0.000519355758162851
C00053553,123885,19,0.000568002567311783,0.000603981738751944,0.000669754861306333,0.00121537001899525
C00068692,91500,24,0.000469137861266143,0.000748846539167752,0.000440761563486517,0.00151855575078243
C00075291,64000,15,0.000323275477950636,0.000485453245147673,0.000408034835445823,0.00105761898212924
C00076737,9000,2,9.57333054730654e-05,0.0001171596521998,3.22623576646316e-05,0.000155960137036192
C00079541,60000,12,0.000322915918219372,0.000410216160471528,0.000155292380822804,0.000813161902085944
C00079566,15000,3,0.000118696189956123,0.00014528419966713,5.25996790732418e-05,0.000249043853506252
C00081414,18000,8,0.00014909350466519,0.00029250762922699,4.30597450915498e-05,0.000458558640580313
C00081547,24500,14,0.000174422934979666,0.000463096891314101,7.87805502150144e-05,0.000862675055965977
C00082040,67500,14,0.000327482088259061,0.000455834325994929,0.000232647570883648,0.00101067605556452
C00082792,47500,13,0.00026728360575333,0.000432441553696185,0.000247445204159263,0.000832126443809624
C00083535,36900,14,0.000222430246836933,0.000461302140008217,0.000258845137124654,0.000939798809476269
C00084822,28000,15,0.000191731770906629,0.000493877910060893,0.000136487277832461,0.00102891634638112
C00085019,5000,1,7.41093788200373e-05,8.58089754475693e-05,4.34121465438813e-05,6.48572238298049e-05
C00085316,45750,15,0.000270010448594318,0.000489595760592122,0.000123549702530363,0.000867670671805041
C00088484,46000,22,0.000265488095383411,0.000696399397652816,0.000178049981924813,0.00134906258414432
C00089136,78500,16,0.000403398163649096,0.000518780112490231,0.000304483495323759,0.0010590392314345
C00089458,70000,18,0.000355205423145733,0.000571435484938883,0.000238357700619655,0.00119808338814007
C00092957,84000,21,0.000403644548712255,0.000659932861862039,0.0004250486289878,0.00135007500922482
C00094185,12250,12,0.00011328275883286,0.000410449831950588,7.23977465831177e-05,0.000780740105657291
C00095869,25500,15,0.000180717799615545,0.000487443057332091,1.16997121428198e-05,0.000863046521494445
C00097485,76000,16,0.000403803460723748,0.000510370523195721,0.000213076076855643,0.00101015473066383
C00097568,88500,20,0.000469083111934968,0.00063687399004877,0.000386782779981013,0.00118956092910761
C00101105,98999,23,0.000475091807001954,0.000721880126801129,0.000446237542232947,0.00150242167526549
C00101204,53000,14,0.000288944034713143,0.000464063897439579,0.0002373993052095,0.000952936291847534
C00101485,58000,13,0.000327197530359412,0.000435419053646391,9.94330768564052e-05,0.000882112277223157
C00103903,39500,10,0.000238805929109456,0.000347070762255988,0.000204228657383,0.00062223184757257
C00106146,319942,22,0.00197034367404208,0.000688951485987026,0.000345810707249555,0.00129283187767522
C00107128,92000,20,0.00043062064388061,0.000632688718370914,0.000475466332342192,0.00129082544611563
C00107235,119850,25,0.000627143017013325,0.000781146016282587,0.000267800295074455,0.00153801138505636
C00109017,85500,22,0.000455611950831124,0.000692602730524876,0.000385246126462498,0.00142373060022067
C00109306,82500,17,0.000412959966836275,0.000548236564078625,0.000408807017056623,0.00114111213542544
C00109819,62500,17,0.000322805556099545,0.000542982303097504,0.000228712737223633,0.00114272730132061
C00110478,46500,12,0.000251565119517519,0.0003995216689924,0.00015895034807291,0.000853701290693182
C00110585,38000,9,0.00021182081855591,0.000313947997823326,0.000109726425941806,0.000599968148682976
C00110759,10500,7,9.59907353762602e-05,0.000259482699789025,0.000114721546308397,0.000509320637483174
C00111278,755970,18,0.00276972071600149,0.000585556593048088,0.0130630621861346,0.00125707702829671
C00111880,28800,9,0.000169717732971227,0.000312341625819746,0.000412290559752148,0.000602851210252679
C00113159,41000,9,0.000225327822852665,0.000313932700379786,0.000141685622762279,0.000607969037032333
C00113241,34000,11,0.000222061259337838,0.000370942981366099,7.42771882097598e-05,0.000593155423679072
C00113803,54999,13,0.000328926162698038,0.000431376294221211,0.000130084401492256,0.000715141086649072
C00118208,18500,11,0.00013127061798953,0.000375459662758599,8.38962521760505e-05,0.000723785939151633
C00118430,16750,8,0.000121789418871447,0.00028343161298425,5.68596301092192e-05,0.000594324492547913
C00118943,65400,18,0.000368199057811308,0.000577526175362376,8.84340256071233e-05,0.00108996539408142
C00120238,6500,3,9.42589005022337e-05,0.000147059841190552,7.6306489280429e-06,0.000191158327448204
C00120873,10000,2,9.55619614408059e-05,0.000113933522914899,4.44794603096334e-05,0.000157940940299866
C00121368,120000,21,0.000593027650882343,0.000662280760735828,0.00044965045554163,0.00138231767906216
C00122101,204172,10,0.000940273970711234,0.000342692241012636,0.000121019541710571,0.00071140912612797
C00125641,55000,13,0.000348622408986577,0.000438829076461259,6.01782459500723e-05,0.000708699059275711
C00130658,13500,12,0.000112255468698308,0.000408514562181578,0.000111590153724596,0.000900676271267733
C00135368,72098,23,0.000372978047842959,0.000727562981753458,0.000319177671071407,0.00137624722363831
C00139659,58190,17,0.000289651099914327,0.000551401548078435,0.000253533252720509,0.00115702005860498
C00140061,184670,24,0.000831299963155311,0.000748025894691002,0.000423562901819019,0.00150707112213882
C00141747,50000,14,0.000263914100603444,0.000463827367805167,0.000345637442543551,0.000915889113891511
C00142158,14000,12,0.000119123699581069,0.000409549355360013,7.17591492969636e-05,0.00078417399728937
C00143305,21000,12,0.000151691533929513,0.00040509005280545,5.54309635616044e-05,0.000774465651867913
C00143560,15500,5,0.000139866362955599,0.000206821901760672,3.3150853851421e-05,0.000337976009598534
C00144766,151000,28,0.000772639079689445,0.000866340727012236,0.000380507748347562,0.0016683062470403
C00144774,61500,13,0.000328165610612579,0.000427372659332622,9.59299225963683e-05,0.000818443648574509
C00145623,24500,10,0.000156388956811398,0.00035018802353761,0.000158808732447295,0.000707709020528302
C00147983,87500,22,0.00044623242825931,0.000697406500358073,0.000400038487971825,0.00138985992026756
C00148031,86500,19,0.000435484283201148,0.000600336557532707,0.000304164068109357,0.00126856190602202
C00150367,90500,20,0.000460601705514482,0.000631631427872833,0.000279576009850307,0.00129789163844741
C00151340,68000,21,0.000367034328047417,0.000671663459250019,0.00030668961739365,0.00136889704582375
C00157875,6000,5,8.60609647856625e-05,0.000196286137527033,9.52616484616273e-06,0.000272520000371049
C00161604,15250,6,0.000114884794301826,0.000233308434737034,0.000133896232709755,0.000500230743604248
C00164145,91795,20,0.000465310359315943,0.000626636603558103,0.000231804635743507,0.00128537784777982
C00166710,5000,1,7.41093788200373e-05,8.58089754475693e-05,4.34121465438813e-05,6.48572238298049e-05
C00167668,76500,17,0.000389243502365026,0.000546023724401568,0.000254690741432975,0.00114517154109809
C00171843,74000,21,0.000405629415916753,0.000663727830869678,0.000112003175834941,0.00119271086068794
C00172296,66719,18,0.000334458426396018,0.000582183136737975,0.000393286548054829,0.00123172160420707
C00174227,7500,3,8.31785629097074e-05,0.000144607976234838,0.000134477689339663,0.000216425557667078
C00177741,59000,12,0.00029192470925705,0.000403069037089623,0.000407705110356259,0.00090777904827996
C00181826,87000,18,0.000456960649669146,0.000575954936776445,9.33581095883024e-05,0.00110024648099978
