Name,wDeg,deg,wPageRank,pageRank,wEig,eig,com,lCom
AZ,19949075,452,0.0217633360363672,0.0150532693596275,0.0215342038167502,0.00475975648310151,1,2
CA,35764,21,0.00176296018238815,0.00203285560245588,3.55368988415573e-09,2.72409525851479e-05,2,8
CT,9544126,301,0.0115255863751266,0.00992921051964599,0.0147301239091321,0.00320392179171015,1,2
DE,1078625,354,0.00504882660167072,0.0113609036130996,4.95557617149575e-06,0.00344772052771804,2,1
FL,20462446,533,0.0249233440202417,0.0183895001680655,0.0171456209328753,0.00515955592818041,1,9
HI,2537638,289,0.00630094407001724,0.00956033606004041,0.00093293378058739,0.00334737603499242,1,2
IN,25700962,612,0.0296788103540206,0.0209461167571508,0.0417234067420243,0.00595579776107179,1,3
MA,8286688,611,0.0155374718211133,0.0202712922436438,0.00458762853895431,0.00592923026539701,2,6
MD,1200083,359,0.00605554299659197,0.0124270175110736,1.97610696097485e-05,0.00325968131497363,2,1
ME,5726257,305,0.00817292445234779,0.00971014067143145,0.00703067195101575,0.00330633104219643,2,7
MI,3329610,539,0.0159915580187615,0.0206021537843926,0.000137422899240455,0.00460392655370618,2,4
MN,848843,284,0.00480714312712585,0.00990690378724794,5.67121343962542e-06,0.00255633620389847,2,4
MO,9669818,393,0.0137099948646355,0.0138557274306227,0.0110024821307963,0.00354489757812787,2,5
MS,891787,322,0.00422852115066905,0.0104245801794628,1.84675603460699e-06,0.00308566729607122,2,6
MT,23801589,690,0.0283653940770961,0.0227938517704592,0.0371885995604397,0.00686928530486174,1,2
ND,15349209,475,0.0173391263833945,0.0146938289846887,0.0285341170055879,0.00539649366900444,1,2
NE,6647217,539,0.0133411580246336,0.0178228114204056,0.00115178835949868,0.0054984080199304,1,3
NJ,2647436,400,0.0089416437958814,0.0140155624289721,0.00160231201843954,0.00368922187027201,2,1
NM,6560401,451,0.0107818074945224,0.0148026113948923,0.00683214766275328,0.00483519215763727,1,2
NV,26613671,735,0.0331641531170941,0.0269637323424693,0.0449775095098988,0.00668549933632533,1,2
NY,2009010,355,0.008714061312522,0.0122904086515221,9.71355078640224e-06,0.00336996462221062,2,1
OH,34392388,704,0.0392427453324512,0.0250593296915668,0.052387035053031,0.00650212436788597,1,5
PA,5790822,574,0.0133650777899427,0.0203564410099285,0.00331586900511496,0.00520176049719953,2,1
RI,779455,201,0.00327304477529176,0.00652252755317081,7.23062044132164e-06,0.00215589612407296,2,1
TN,965998,322,0.00463265157151562,0.0105679850757826,2.02147208047259e-06,0.00314362365556708,2,6
TX,1400580,330,0.00625663363974872,0.0116118192119553,2.88812218548921e-05,0.00310223453752846,1,3
UT,1684209,508,0.00879111281177308,0.0171575626861091,4.2413674529694e-06,0.0045242548198206,2,6
VA,48535537,586,0.0475024450445259,0.01986470758534,0.0937599040298281,0.00570185737795898,1,2
VT,182424,64,0.000657061254664991,0.0019719174488254,6.57588647117343e-06,0.000813333460857104,1,2
WA,136577,63,0.00109693496154332,0.00238757414786072,2.30092253815292e-07,0.000483687276989451,2,8
WI,37189545,581,0.0384196924469757,0.019887194183417,0.0610158837679228,0.00574264552450465,1,2
WV,1138933,319,0.00406669606186983,0.00974899131314568,1.31437851438621e-05,0.00351716428333587,2,9
WY,834305,269,0.00330749559607451,0.00827025037787845,2.4248438658652e-06,0.00288300843363937,2,6
