Name,wDeg,deg,wPageRank,pageRank,wEig,eig
AK,466390,213,0.00617099667937055,0.00762687232389021,0.000119386086895821,0.00235308697925094
AL,652144,287,0.00805156294259035,0.0101432032966016,0.000223235435492623,0.00355527362604244
AR,1867963,564,0.0215444413243788,0.0204306625696305,0.0184838004861778,0.00630210322595534
CO,2024002,577,0.0223786197084669,0.0204079907813271,0.0380597004851867,0.00661149032231052
DE,28350,18,0.000492818751277141,0.000734088243971096,9.59404932872967e-06,0.000176959838937601
GA,2565713,596,0.0279566580687341,0.0220416089036897,0.0725058198418393,0.00652654497018756
IA,1172245,447,0.0155870930197256,0.017174672978079,0.000393898269545645,0.00484514282370029
ID,677233,305,0.00886574914199311,0.0111480423104708,0.000201552165383869,0.00346912187983814
IL,667251,298,0.0091631061968908,0.0112921064388378,0.000214556604986445,0.00316178100493938
KS,332438,154,0.00425245018307497,0.00544853050898119,9.90609493687684e-05,0.00187035659766301
KY,751864,318,0.00948639700052918,0.0114275131013865,0.000234013591753994,0.00368556169047172
LA,1721371,515,0.0214945541221774,0.0201443084170695,0.00211476452737009,0.00518133060926128
MA,21850,17,0.000622123689409427,0.000866019398813117,6.03784773992846e-06,0.000127808973165914
ME,1032057,403,0.0119778177562935,0.0138171702587828,0.00317458994360525,0.00488946666789807
MI,345424,170,0.00462654728988106,0.00613481093237074,0.000110827029585958,0.00202627020357228
MN,2525629,575,0.0284735816795889,0.0219428077659797,0.0449329847464122,0.00631048281059484
MO,2529247,679,0.029304685327767,0.0255676320481856,0.0499782792028386,0.00709629366776581
MS,383698,207,0.00528799655036486,0.00739840196468731,9.30003515289398e-05,0.00224344652098259
MT,1445561,506,0.0183828443599034,0.0192125041807683,0.0121339155556988,0.00512451108786724
NC,1292581,452,0.0163578906976155,0.0171163652898505,0.000440200171461229,0.00514316080255062
NE,353699,196,0.00432793857070768,0.00658766314414418,0.00010868461969992,0.00240450618266271
NH,1511998,523,0.0184507322088367,0.0190164793156347,0.00205738651913415,0.00588979019708549
NJ,2166256,426,0.0237222140281812,0.0165503711943076,0.0528372134815567,0.0048112247491351
NM,554032,270,0.00668208501393368,0.00925064253288717,0.000184736077280286,0.00343914615992843
OK,699885,297,0.00907680534223227,0.0109783357245238,0.000277503598628213,0.00341398633879621
OR,1358157,407,0.0155755474407836,0.0148916927769341,0.0312103078410507,0.00469333135219878
RI,355617,180,0.00441690936905757,0.00623037648093366,0.000133570434592869,0.00222884729803353
SC,1465031,401,0.0161087683902851,0.0144712140822642,0.0358498717677333,0.00474118855360203
SD,2098771,748,0.0280042951782572,0.0292553940656997,0.000606814799700697,0.00737531545570758
TN,1087167,402,0.0140984733305544,0.0153355351810033,0.000375161223751202,0.0045596771107308
TX,2961115,617,0.033344074902236,0.0242695554778149,0.0806677767254175,0.0065656753592151
VA,412226,222,0.0053849451167425,0.00776208949857599,0.000110705572820538,0.00254325782438042
WV,455695,226,0.00617336750857718,0.00828276047956753,0.000147613829729458,0.0025205195127689
WY,408713,200,0.00515570347829563,0.00707642524547347,0.000132280142835451,0.0023663272662451
