Name,wDeg,deg,wPageRank,pageRank,wEig,eig,com,lCom
C00000059,33500,13,0.000391154814729011,0.000508842343108198,0.000229242073455026,0.000924908115834005,2,4
AK,538549,300,0.00730831194937117,0.0114853488101718,5.59839861725237e-05,0.00347570600268878,2,4
C00000422,143500,27,0.00137283240287693,0.00096516059901648,0.00097818600436911,0.00178729771666778,2,1
C00000729,115250,25,0.00112990326007521,0.000906781181811306,0.000754682163515098,0.00168146855543317,2,4
C00002162,15500,10,0.000222716569228618,0.000399968614534415,7.99266401047329e-05,0.000585828029123446,2,4
C00002790,8000,7,0.000149422302293365,0.000306062101828863,4.52671533814909e-05,0.000518907473048541,2,4
C00002881,36508,21,0.000408304995407,0.000757329403279309,0.000189865228774796,0.00154208189652873,2,4
C00002972,90000,25,0.00090344206935344,0.000897360592323503,0.000586332094808181,0.00173069757619905,1,4
C00003160,9500,7,0.000163524121519292,0.00030657026054053,6.21172241663851e-05,0.000468041849588195,1,5
C00003764,108500,25,0.00103471442337069,0.000900240367474068,0.000925503355793942,0.00170147205329427,2,10
C00004275,141000,27,0.00137073738112369,0.000970466670877786,0.00094881316370009,0.00189092640223312,2,9
C00004473,19600,19,0.000260454715480653,0.000701420286828468,0.000116483677521337,0.00128098056929522,2,4
C00005249,134500,27,0.00130188276864854,0.000960887577838436,0.000845511891862597,0.0019083167030601,2,4
C00007427,1000,1,8.49279798499137e-05,0.000105803769851486,1.84759839377235e-08,4.88085011679804e-05,2,4
C00007922,107000,22,0.00106008731445233,0.000806734457199541,0.000719149906500215,0.00158603688993623,1,3
C00008748,7000,5,0.000142931162950375,0.000234222753427954,2.28681955760135e-05,0.000304853702890468,2,4
C00009282,16000,10,0.000219752152686204,0.000404856210355064,0.000127727780991956,0.000748491632100613,2,4
C00009910,3729,5,0.000109351896205803,0.000236717747321811,1.27166626662326e-05,0.000389093229923809,1,10
C00009928,22500,12,0.000269667935266625,0.000471463164609381,0.000229107978967118,0.000868123778995578,1,1
C00009985,51000,19,0.000566744952338227,0.000704872113321557,0.000242616952466796,0.00129829234502255,2,3
C00010082,51997,12,0.000562509526145346,0.00047022507803904,0.000341882547804047,0.000871803479459475,2,6
C00010470,120269,28,0.00117629507310484,0.00100000411671028,0.000733023774221907,0.00198018978665823,1,8
C00010983,19000,14,0.00025109924190563,0.000534926505524727,0.000158792923868046,0.000975856519757788,2,4
C00012328,21869,17,0.000272448554870548,0.000642359829156506,0.000153741993933561,0.00118878828578748,2,1
C00012880,51350,20,0.000552192085892792,0.000736960991795304,0.000378633289705912,0.00146486494731727,2,5
C00013961,30800,9,0.000361609171152631,0.000375135546831193,0.000156848123675734,0.000693445598446949,1,10
C00014878,15500,9,0.000231310565387742,0.000367604035503103,3.92352659292219e-05,0.000582157587069536,2,8
C00015933,12500,11,0.00019510698812847,0.000434290446728267,3.87033076507106e-05,0.000788654658202602,2,10
C00016683,31000,15,0.000351928891340735,0.000568243925800565,0.000200416185851503,0.00115393117056322,1,10
C00020206,1850,4,9.20700083964869e-05,0.000201806096450051,2.67184630050197e-06,0.000277122090655558,2,4
C00022343,43250,17,0.000472928332813692,0.00063180696136885,0.000241705212174079,0.00119125522589918,2,1
C00023028,23500,15,0.000292269445586226,0.000569949696028146,0.000192691037286763,0.00102694757739954,2,4
C00023580,117600,26,0.00115518429707278,0.000937457759610099,0.00073629590350508,0.00177159793057748,1,10
C00024281,23367,15,0.00028589746828531,0.000582158809102223,0.000226928495738202,0.00106035233066253,2,1
C00024299,5000,3,0.000116779521038721,0.000172035874118672,6.70292739261117e-05,0.000186228971256329,2,4
C00024869,56625,27,0.000585875246932122,0.000966026617671673,0.000434417686031893,0.00184125985733179,2,6
C00024968,75000,21,0.000737698499173286,0.00077468166716548,0.000601302597276742,0.00144335902374196,1,1
C00025205,12000,11,0.000179420073856609,0.000434075239790551,9.1154065374842e-05,0.000760306474957618,1,3
C00025346,28000,17,0.00032394620400061,0.000631050170746134,0.000227546461681636,0.00115380256115555,2,4
C00027466,415904,9,0.00389615515014718,0.000374518645454364,0.00158325034079989,0.000574870897609823,2,10
C00027532,51500,15,0.000572654455471859,0.000569269886700687,0.000239086917254795,0.00106177482029647,2,8
C00029348,38200,16,0.000419286034467218,0.000601033147601814,0.000193889414427906,0.00120249407213469,2,3
C00030718,133500,25,0.00129159566287613,0.000897076717195424,0.000855803707590955,0.00168830536746663,2,7
C00032805,20000,11,0.000258912305788514,0.00043525883467011,0.000119483398456722,0.000816697345990045,2,4
C00033423,20000,12,0.000249539637584159,0.000466872129540081,0.000242779633689837,0.000760237167234031,2,4
C00033456,9500,8,0.000165047294387343,0.000336767067789155,4.41373544349342e-05,0.000613317161645416,2,4
C00033530,14000,11,0.000213197178376558,0.0004304837864211,5.37916473835008e-05,0.000713944923061135,2,9
C00033977,17000,10,0.000223882998583053,0.000400857899992977,0.000173933521480401,0.000749622922756979,1,10
C00034041,25000,16,0.000302667108429632,0.000597933781266602,0.000148585298863721,0.00109218192573868,2,4
C00034553,3750,4,0.000111068988750386,0.000202172139672879,8.06943363952848e-06,0.000242364006704573,2,4
C00034678,5250,7,0.00012326865273571,0.00030185884583043,2.29171914919423e-05,0.000455468268147784,2,4
C00035006,74000,19,0.000748607602889684,0.000692449995311926,0.000445299064034853,0.00133285306726909,2,4
C00035220,26705,18,0.000321175131760079,0.000659994692524027,0.000133899381326765,0.00126402166413363,2,7
C00035451,85000,18,0.000854853916281732,0.000661629273810326,0.000384973464985412,0.00120501124582666,1,3
C00035683,44250,16,0.000486288891516001,0.000604242496654674,0.000220211284171837,0.00117205631854662,1,8
C00035709,9500,6,0.00016317543954506,0.0002700487820342,5.05990354032011e-05,0.000400697424229707,2,4
C00038471,25500,10,0.000313999968545856,0.000399919604291119,0.000130429121697083,0.000590776277159464,2,4
C00038604,19078,14,0.000245506973474122,0.000539761472399881,0.000226805227823625,0.00104956890930954,2,10
C00039461,9700,10,0.000163158742682275,0.000406388406252747,6.38641165447814e-05,0.000745650077066858,2,4
C00039503,9500,10,0.00015992000891572,0.000399953925866573,6.00234703263614e-05,0.000722818105654106,2,8
C00040279,20719,13,0.000256072391647323,0.000499577417978386,0.000215149158366552,0.000956566762941938,1,4
C00040469,8000,6,0.000149475708765879,0.000263198845098077,2.504906097467e-05,0.000367845054831069,2,10
C00040535,18500,7,0.000238695767646032,0.000304746467680497,0.000186684448045178,0.000501289494907566,2,5
C00040550,45000,20,0.000494283808546216,0.000719419734904046,0.000285364693691523,0.0013962398837998,2,4
C00040659,4500,3,0.000118027667448721,0.000169299172030605,5.04221995635284e-06,0.000154800419515069,2,2
C00040667,27750,17,0.000345962484237751,0.000638355946781445,0.000129752254363679,0.00112697146495257,2,4
C00040998,137000,28,0.0013045835987455,0.00100088457978965,0.000990208560946064,0.00193498130633432,2,10
C00041178,31250,18,0.000356962863456862,0.00066782845673713,0.000207337345411183,0.0012497623973305,2,4
C00041616,36000,19,0.000419005738804447,0.000696190321456419,0.000161189325974787,0.00127311482781167,2,4
C00042895,31500,18,0.000365066356962044,0.000667300728279051,0.000233402520995203,0.00131058940020019,2,10
C00053553,87650,19,0.000867667866059173,0.000699487912708989,0.00061278780883146,0.00139437056455207,2,4
C00055236,22091,13,0.000286650277118486,0.000501331938817738,0.000136966301647321,0.000875190973317736,2,4
C00056192,10100,9,0.000167370321796835,0.000364450184753169,5.83809237037073e-05,0.000571638366574624,2,5
C00059329,5000,5,0.000122721163798798,0.000234730405854202,1.65868023653248e-05,0.000282604356006611,2,4
C00059832,46000,17,0.000497715593845365,0.000634397034084069,0.000369810627177774,0.00123149658160336,2,4
C00060079,5500,5,0.00012828700115494,0.000234489362718919,1.98425781418846e-05,0.000307041552308427,2,4
C00060103,33500,18,0.000369781285203934,0.000667467064458864,0.00034401323789151,0.00131940595011911,1,3
C00063164,76500,20,0.000769614130622431,0.000725405800779921,0.00046742313421706,0.00142462784571069,1,4
C00063461,27000,13,0.000325437166983847,0.000492680100495024,0.000121918654468316,0.000757413306828961,2,4
