Name,wDeg,deg,wPageRank,pageRank,wEig,eig,com,lCom
C00000422,107000,23,0.00107104386855015,0.000796812568390582,2.24817432073103e-06,0.00149981199754386,2,9
AK,403275,228,0.00483125543565262,0.00796313894205685,2.70824801963946e-05,0.00292366054187995,2,5
C00000901,130000,27,0.00130523603565551,0.000926963995416211,0.000512974006728682,0.00180141496847021,2,4
C00002261,17000,12,0.000221573487389718,0.000449076408614318,0.000204509689306055,0.000885047947785243,1,5
C00002972,89300,22,0.000906248675632273,0.000759073905514332,1.89009087229186e-06,0.00136496825701919,2,12
C00004275,123000,25,0.00121649799559933,0.0008589813189052,0.000512826188165846,0.00161940787724641,2,4
C00004473,28850,23,0.000345279586735563,0.000790019387016278,4.70275666731343e-07,0.00139295100064584,2,12
C00004515,54500,24,0.000574707690739767,0.000832834849646845,0.000511590393414745,0.00153292014284685,2,4
C00004812,45903,24,0.00048426546705628,0.000837723108937912,0.000103069388823654,0.00165990568458785,2,10
C00005249,129500,29,0.00130249748951988,0.000984824816585523,2.47033322535728e-06,0.00181739297529337,2,11
C00005660,28000,14,0.000344077743455863,0.000499917065193222,3.6955475291961e-07,0.000793336598197776,2,10
C00006080,102500,26,0.00101885173545897,0.000894929432230177,0.000104480046453262,0.0017119462768647,2,10
C00007450,18728,17,0.000241412973304219,0.000613527630242486,0.000102450348532841,0.00118300009238859,2,9
C00007922,98500,21,0.000991822658123064,0.000736612918534661,2.01911899589752e-06,0.00129892656484339,2,12
C00007948,8000,5,0.000139380624325038,0.00022584459297074,2.37960797955915e-07,0.000337401061119934,1,12
C00008748,14000,5,0.000171628883572862,0.000229959955667446,0.00102100384182152,0.000341609242571783,2,5
C00009282,51100,23,0.000541675285066617,0.000804369390327631,0.000103052987506763,0.00153325844200482,2,8
C00010421,82467,18,0.000846948276695299,0.000638741888371153,0.000512023571370126,0.00125823033117666,1,5
C00010470,107499,23,0.00104932518556467,0.000799795929877939,0.000512710894784786,0.00158461941723827,2,4
C00010983,50500,26,0.000551940138874522,0.000892889993793781,0.000205138056427832,0.00173789499369795,2,2
C00012328,20000,18,0.000254605485568071,0.00064185315213302,0.000102443619046735,0.00114609113298096,2,11
C00012476,49500,16,0.00053406300456481,0.00057745328898775,1.11305416651956e-06,0.000979261125704271,2,12
C00015933,16000,9,0.000227997557559521,0.000357101548398125,0.000102298458679146,0.000669242057065067,1,5
C00019653,29817,12,0.000347607236910436,0.000448232025606108,0.000510778427343691,0.000736765789550346,2,5
C00022368,33000,24,0.000375904313127054,0.000834105909692195,0.000510949641779744,0.00155383973334129,2,11
C00024349,3000,3,9.548216214142e-05,0.00016350367745993,5.57817835049425e-08,0.000172540797994755,2,5
C00024968,64000,22,0.000651858597258227,0.000767806372701965,0.000256472495371435,0.00134576991396241,2,5
C00025346,32500,13,0.000381720487344552,0.000480586916783191,6.54663553144378e-07,0.000881225577351824,2,9
C00027532,45500,21,0.00049322417610718,0.000737883803435122,0.00010277699522368,0.0012316521497048,2,4
C00028787,33824,18,0.000367422315151485,0.000642295988692824,0.00035807941113014,0.00133678990395482,1,2
C00029348,28300,18,0.00031509795929188,0.000644006782374966,0.000510988001646081,0.00128490856970706,1,7
C00029504,38550,18,0.000429699306317892,0.000642328939209934,9.10741527283853e-07,0.00110325751199742,2,12
C00030718,131700,28,0.00130310702377802,0.000956915844736323,0.000512769130667318,0.00179163659385052,2,4
C00033456,18500,12,0.000243108499678968,0.000451878449071808,0.000204513371784502,0.000901103217069037,1,5
C00034041,27500,16,0.000319492202215517,0.000580012363711471,0.000102699624870981,0.00116538113270015,1,8
C00034132,22000,9,0.000260814892009632,0.000360026220910023,0.000510710374888454,0.000597348362951084,2,12
C00035006,65550,17,0.000664555648779989,0.000607412484657974,0.000516914772349123,0.00118759969677577,1,9
C00035220,12800,5,0.00019627375759069,0.000225685686235968,2.31360772055417e-07,0.000299582889631571,2,5
C00035691,32500,13,0.000356215522000734,0.000480889077305908,8.92751746449074e-07,0.000950352226726067,1,9
C00039503,8000,7,0.00014568595018456,0.000290983522669292,0.00010217224869432,0.000436511695678546,2,5
C00040238,22200,11,0.000262341694620955,0.000411828553197906,5.1361599203834e-07,0.000716949743894714,2,8
C00040394,7000,6,0.000136897264270743,0.000252558600819945,1.09644044013632e-07,0.00039273041831253,2,9
C00040469,5500,5,0.000119716703799594,0.000222655374939896,1.17571480889088e-07,0.000337269949847609,1,5
C00040550,54500,22,0.000553246421339379,0.000766268501092048,0.000103381630430582,0.00147345201461111,2,8
C00040824,12750,10,0.000203974244189474,0.00038096021816686,2.09800521267319e-07,0.000609135975827656,2,8
C00040907,16500,13,0.000223453237051277,0.000476570119935828,3.47613241319851e-07,0.000883576716749468,2,9
C00040998,126500,28,0.00125308433834928,0.000958068757803952,0.000512918398373131,0.00178897684435091,2,11
C00041178,12000,10,0.000168174811899956,0.00039207328768615,0.000306508459433035,0.000746065423780051,1,9
C00041566,20448,14,0.000258713521862274,0.000509441091597671,4.4298252025343e-07,0.00098227275604484,1,2
C00041608,5000,2,0.000117284324888249,0.000127048483269984,6.17874304598696e-08,0.000105378909089878,2,5
C00041616,18000,14,0.000240634274068008,0.000510461147063826,3.34742555918385e-07,0.000939497633381488,2,9
C00043687,73500,26,0.000758460789061901,0.000894059919827567,0.000511961933713254,0.00172457149111222,2,9
