Name,wDeg,deg,wPageRank,pageRank,wEig,eig,com,lCom
C00000372,34500,14,0.000230847841710996,0.000502766898667016,0.000102968898182458,0.000995940260018037,2,10
AK,4613712,476,0.0205436583985167,0.016494271530838,0.0380745940824063,0.00560250819501262,2,7
C00000422,89500,23,0.000609183846394535,0.000763471230431318,0.000117274243151927,0.00139884985384193,1,3
C00000729,93500,26,0.000612151787818712,0.000861501878074738,0.000149029586422968,0.00169150007068006,1,3
C00000885,76450,17,0.000461626073945877,0.000583257909736739,0.000187808370291961,0.0011432082169438,2,10
C00000901,107500,24,0.000700140862515153,0.000802952403557338,0.000179979677575484,0.00152569063042144,1,9
C00001016,110000,22,0.000678386286838977,0.000738914952218237,0.000231720005771755,0.00147469136085982,2,9
C00001198,19500,11,0.000151816949025349,0.00040130144929869,7.36694787186651e-05,0.000912619569737205,2,5
C00001727,29284,8,0.000183072899780302,0.00031033324069945,0.000127445403240471,0.000664283070568304,2,7
C00002089,99000,21,0.000599912218979477,0.000708616166998101,0.000218248143858367,0.00142692995991924,2,9
C00002261,34971,13,0.000268863931354627,0.000451556190916691,7.33350259493577e-05,0.000844862938776496,1,3
C00002394,13500,6,0.000121829689532518,0.000243567886737533,3.73169311746105e-05,0.000465353160336966,2,7
C00002469,106000,21,0.000676837434207635,0.000711723055940159,0.000193775513603775,0.00135274386445367,1,10
C00002600,2000,2,7.12310501421943e-05,0.000124213541780527,7.1152688950264e-06,0.000183670250463052,2,7
C00002766,124000,24,0.000810269353539619,0.000804691131453235,0.00019745377315925,0.00155202346333643,1,9
C00002840,89500,18,0.000571812633778752,0.000623242718175829,0.000209308292447059,0.0012074581090751,2,9
C00002881,69999,19,0.000422760042327679,0.000643572691260164,0.000196058852186247,0.00125418683963607,1,4
C00002972,122707,25,0.000781409928756552,0.000826870261347201,0.000180092522103818,0.00160283896987539,1,4
C00003251,125000,25,0.000783232143982379,0.000833320456266159,0.000236395791319528,0.00162329782998703,1,9
C00003558,137500,26,0.000870244575826157,0.000858958937617406,0.000234132448187169,0.00154457941498836,1,9
C00003590,70000,13,0.000434020976467706,0.000463508616200787,0.000156463244472675,0.000882802313761955,2,6
C00003632,80000,19,0.000459841952261958,0.000646676479261297,0.000225864090544053,0.00132074702020463,2,10
C00003756,30000,12,0.000194301118679521,0.000430049276623979,0.000140540402974918,0.000832038376094989,2,4
C00003764,78000,17,0.000492781946152283,0.00059505906126568,0.000179189229818551,0.00124438168379877,2,4
C00003806,57000,13,0.000336848736223112,0.000460346932245903,0.000178805140746671,0.000917036745805613,2,3
C00004036,120000,25,0.000768481078906399,0.00083927055621782,0.000219755503608338,0.00158816615267665,1,9
C00004275,131500,28,0.000912124613016737,0.000921552538156863,0.00014332213448362,0.00162564388594433,1,3
C00004325,66500,18,0.000405169328769959,0.000611808586324698,0.0001832477084085,0.00125154020214382,2,9
C00004861,47000,12,0.000279602781897525,0.000442302344717001,0.000191862616682748,0.000858098388628972,2,9
C00005157,56500,19,0.000416081953982273,0.000654862477697871,6.82945319945008e-05,0.00134552594135815,1,9
C00005249,149500,29,0.00095944887064135,0.000954064593658282,0.000283135537641178,0.00177863243460354,1,9
C00005660,64000,23,0.000457575960980896,0.000770483792981188,7.69242919249056e-05,0.00136373616452559,1,9
C00006080,98240,21,0.000620415549307678,0.000711304943545162,0.000261294976266312,0.00141536200147794,1,3
C00006338,51500,16,0.000341038662577504,0.000554276508012017,0.000142713050952601,0.00113787473931462,2,9
C00007450,17233,9,0.00014031117077144,0.000336645698616069,7.16567828810723e-05,0.000659970600967296,2,7
