sendID state amount
C00000422 AK 5000
C00000729 AK 3000
C00001198 AK 1000
C00001289 AK 500
C00001594 AK 1000
C00002022 AK 1000
C00002162 AK 2000
C00002790 AK 500
C00002972 AK 1000
C00004101 AK 1000
C00004275 AK 5000
C00004325 AK 5000
C00005249 AK 3000
C00006080 AK 2500
C00007450 AK 1000
C00009985 AK 1000
C00010082 AK 5000
C00010322 AK 3500
C00010421 AK 2000
C00012328 AK 2000
C00012468 AK 625
C00012476 AK 2000
C00016683 AK 2000
C00020206 AK 1000
C00021535 AK 500
C00023580 AK 5000
C00024349 AK 1000
C00024869 AK 3000
C00024968 AK 2000
C00025346 AK 1000
C00027466 AK 100556
C00027532 AK 2500
C00028787 AK 1000
C00029504 AK 5000
C00030718 AK 5000
C00030783 AK 1000
C00030809 AK 1000
C00032805 AK 1000
C00032979 AK 5000
C00033092 AK 3000
C00033530 AK 4000
C00034041 AK 1000
C00034173 AK 1000
C00034934 AK 500
C00035006 AK 1000
C00035451 AK 5000
C00035683 AK 5000
C00035691 AK 1000
C00035709 AK 1000
C00035774 AK 250
C00039321 AK 1000
C00039503 AK 1000
C00039578 AK 1000
C00040550 AK 2885
C00040568 AK 3000
C00040907 AK 1000
C00041061 AK 1000
C00041178 AK 3000
C00041616 AK 2500
C00051979 AK 500
C00055236 AK 1000
C00059329 AK 2000
C00059899 AK 1000
C00060103 AK 2500
C00067215 AK 1500
C00068692 AK 2500
C00076133 AK 1000
C00076810 AK 1000
C00077321 AK 625
C00078261 AK 1000
C00078451 AK 5000
C00079483 AK 500
C00080515 AK 1000
C00081414 AK 1000
C00083865 AK 1000
C00084871 AK 1000
C00088591 AK 5000
C00089961 AK 1000
C00090209 AK 1000
C00094581 AK 500
C00095844 AK 1000
C00096156 AK 1000
C00096842 AK 1000
C00097725 AK 1000
C00097865 AK 1000
C00098855 AK 250
C00099937 AK 1000
C00100131 AK 1000
C00100305 AK 1000
C00100495 AK 3000
C00101204 AK 2000
C00101410 AK 2500
C00102764 AK 5000
C00104810 AK 1000
C00104885 AK 1000
C00106146 AK 1000
C00109306 AK 375
C00109819 AK 2000
C00110494 AK 2000
C00110759 AK 2000
C00112896 AK 2000
C00113811 AK 2000
C00114108 AK 2000
C00114702 AK 1000
C00116145 AK 1000
C00117408 AK 3000
C00119008 AK 3000
C00119651 AK 1000
C00119669 AK 1625
C00120071 AK 1000
C00120550 AK 1000
C00121962 AK 500
C00122101 AK 1000
C00123612 AK 5000
C00126847 AK 3000
C00128231 AK 625
C00128975 AK 2000
C00129270 AK 1000
C00131185 AK 5000
C00131383 AK 1000
C00136317 AK 1000
C00137729 AK 1000
C00139519 AK 1000
C00141002 AK 1000
C00141903 AK 3000
C00141960 AK 1000
C00142711 AK 1000
C00144766 AK 3000
C00145342 AK 1000
C00147066 AK 4000
C00147231 AK 500
C00147736 AK 1000
C00148031 AK 1000
C00148734 AK 4000
C00148916 AK 1000
C00150367 AK 3000
C00151043 AK 3000
C00152892 AK 1000
C00156232 AK 1000
C00156828 AK 1000
C00157925 AK 2500
C00158865 AK 2000
C00159954 AK 1000
C00161133 AK 1000
C00162529 AK 1000
C00163832 AK 1000
C00164152 AK 2000
C00164780 AK 2000
C00167684 AK 3000
C00167759 AK 2000
C00168864 AK 1000
C00169649 AK 1000
C00171421 AK 1000
C00171926 AK 1000
C00174359 AK 500
C00177469 AK 2000
C00177550 AK 1000
C00177998 AK 5000
C00179366 AK 1000
C00179762 AK 2000
C00180000 AK 1000
C00181826 AK 3000
C00184374 AK 1000
C00185124 AK 2000
C00185660 AK 1000
C00196089 AK 2500
C00196246 AK 5000
C00196618 AK 1000
C00196709 AK 3000
C00197095 AK 250
C00198259 AK 1000
C00203182 AK 1000
C00204453 AK 1000
C00205369 AK 600
C00205443 AK 1000
C00207258 AK 2500
C00210542 AK 1000
C00214015 AK 5000
C00215285 AK 1000
C00216564 AK 1000
C00226720 AK 1000
C00231225 AK 5000
C00237693 AK 750
C00238311 AK 100
C00249250 AK 998
C99002396 AK 300
C00000372 AL 1000
C00000422 AL 5000
C00000885 AL 2000
C00001016 AL 3000
C00001289 AL 4000
C00001388 AL 1000
C00001594 AL 1000
C00002022 AL 1000
C00002394 AL 1500
C00002469 AL 5000
C00002840 AL 5000
C00002881 AL 1000
C00002972 AL 5000
C00003251 AL 5000
C00003632 AL 1200
C00003772 AL 3154
C00003806 AL 4000
C00004101 AL 2000
C00004275 AL 5000
C00004325 AL 5000
C00004994 AL 1000
C00005249 AL 5000
C00006338 AL 1000
C00007831 AL 2700
C00007922 AL 5000
C00008268 AL 3500
C00008425 AL 1000
C00009035 AL 1000
C00009423 AL 2000
C00009597 AL 2000
C00009936 AL 1000
C00009985 AL 1000
C00010322 AL 3000
C00010470 AL 3000
C00011114 AL 2500
C00011262 AL 500
C00011718 AL 500
C00012328 AL 1000
C00012468 AL 1000
C00012476 AL 2000
C00012914 AL 1000
C00014019 AL 100
C00014555 AL 1000
C00014878 AL 200
C00016683 AL 4000
C00018028 AL 200
C00019653 AL 1000
C00021295 AL 500
C00022343 AL 2200
C00023028 AL 7000
C00023580 AL 4000
C00024281 AL 2000
C00024521 AL 5000
C00024869 AL 3500
C00025213 AL 500
C00027342 AL 3500
C00027359 AL 1000
C00027466 AL 302685
C00028787 AL 2000
C00028860 AL 3000
C00029348 AL 1000
C00029504 AL 1000
C00030676 AL 3000
C00030809 AL 1000
C00032599 AL 6000
C00032623 AL 500
C00032698 AL 1000
C00032797 AL 500
C00032979 AL 5000
C00032995 AL 2500
C00033423 AL 2000
C00033530 AL 1000
C00033704 AL 5000
C00033944 AL 500
C00033969 AL 3000
C00034041 AL 1000
C00034157 AL 5000
C00034272 AL 2000
C00034330 AL 1000
C00034538 AL 4000
C00034934 AL 500
C00035204 AL 3000
C00035220 AL 2000
C00035451 AL 5000
C00035592 AL 500
C00035675 AL 2000
C00035683 AL 1000
C00035709 AL 1000
C00038471 AL 1000
C00038604 AL 3000
C00038695 AL 1000
C00039057 AL 1000
C00039479 AL 1000
C00039503 AL 500
C00039578 AL 4000
C00040238 AL 2000
C00040253 AL 1000
C00040535 AL 2000
C00040568 AL 2000
C00040667 AL 2000
C00040840 AL 1000
C00040907 AL 1000
C00040998 AL 1000
C00041178 AL 4000
C00041228 AL 1000
C00041558 AL 1000
C00041608 AL 1000
C00042010 AL 500
C00042069 AL 1000
C00042366 AL 134810
C00043463 AL 1000
C00043489 AL 1000
C00043687 AL 2000
C00046474 AL 1500
C00050310 AL 2500
C00051979 AL 1000
C00053553 AL 4950
C00056564 AL 500
C00059832 AL 5250
C00060079 AL 1000
C00060103 AL 5000
C00062646 AL 1000
C00063131 AL 500
C00064766 AL 2200
C00066472 AL 5000
C00067215 AL 3000
C00067231 AL 500
C00068692 AL 5000
C00075820 AL 5000
C00075994 AL 1000
C00076133 AL 1000
C00076182 AL 500
C00076299 AL 5000
C00076588 AL 1000
C00076810 AL 5000
C00077024 AL 3950
C00077305 AL 2000
C00077321 AL 5000
C00077362 AL 1000
C00079483 AL 500
C00079723 AL 500
C00079947 AL 1000
C00080713 AL 500
C00081414 AL 2000
C00082677 AL 3500
C00082792 AL 500
C00083865 AL 500
C00083915 AL 1000
C00084871 AL 3000
C00085316 AL 1000
C00087791 AL 1000
C00088591 AL 1000
C00088864 AL 4000
C00089136 AL 2000
C00089342 AL 1000
C00091561 AL 2000
C00091884 AL 500
C00091942 AL 1000
C00093195 AL 1500
C00094870 AL 2996
C00095109 AL 500
C00095406 AL 2500
C00095760 AL 5000
C00095869 AL 1000
C00096636 AL 1000
C00096842 AL 500
C00096941 AL 1000
C00097089 AL 1000
C00097220 AL 3000
C00098053 AL 1000
C00098855 AL 250
C00099754 AL 150
C00101410 AL 2000
C00102871 AL 500
C00103143 AL 1000
C00103572 AL 1000
C00104364 AL 1000
C00104604 AL 1000
C00104802 AL 1000
C00104851 AL 2500
C00105338 AL 500
C00106146 AL 1500
C00106971 AL 3500
C00107235 AL 2000
C00107490 AL 1000
C00107599 AL 2000
C00107615 AL 1001
C00107771 AL 1000
C00109017 AL 1000
C00109306 AL 2000
C00109819 AL 5000
C00110338 AL 1000
C00110494 AL 3000
C00110585 AL 5000
C00110759 AL 2000
C00112110 AL 1000
C00112623 AL 500
C00112896 AL 1000
C00113001 AL 750
C00113654 AL 500
C00113902 AL 1000
C00114223 AL 1000
C00116145 AL 1000
C00117408 AL 1000
C00117754 AL 1000
C00118166 AL 600
C00119669 AL 1000
C00119776 AL 1000
C00119990 AL 2500
C00120030 AL 1000
C00120204 AL 1000
C00121368 AL 1000
C00121814 AL 1000
C00122739 AL 500
C00122937 AL 500
C00125658 AL 500
C00126276 AL 500
C00126763 AL 1000
C00126847 AL 500
C00127357 AL 1000
C00127779 AL 1500
C00128678 AL 1000
C00129742 AL 250
C00130203 AL 750
C00130575 AL 750
C00131219 AL 500
C00131383 AL 2000
C00131557 AL 2000
C00132092 AL 150
C00135731 AL 1000
C00135855 AL 1000
C00138701 AL 5000
C00139139 AL 2000
C00139600 AL 2500
C00139774 AL 500
C00141002 AL 1000
C00141614 AL 1000
C00141903 AL 1500
C00141945 AL 1500
C00142422 AL 1000
C00142596 AL 250
C00142711 AL 1750
C00142836 AL 1000
C00144147 AL 500
C00144261 AL 500
C00144766 AL 3000
C00144774 AL 1000
C00145474 AL 500
C00147066 AL 4000
C00147702 AL 1000
C00148874 AL 500
C00149484 AL 1000
C00150367 AL 5000
C00151019 AL 500
C00151340 AL 1000
