sendID state amount
C00000901 AZ 2500
C00001198 AZ 1000
C00001727 AZ 1000
C00001966 AZ 156
C00002261 AZ 1000
C00003160 AZ 1000
C00003590 AZ 1000
C00003855 AZ 1000
C00004101 AZ 250
C00004275 AZ 2000
C00004812 AZ 500
C00005249 AZ 300
C00005728 AZ 500
C00006338 AZ 1000
C00007880 AZ 500
C00009357 AZ 250
C00010132 AZ 500
C00010322 AZ 850
C00012468 AZ 250
C00024968 AZ 1000
C00027466 AZ 146114
C00028787 AZ 500
C00030718 AZ 5000
C00032656 AZ 500
C00032995 AZ 1000
C00033415 AZ 1250
C00033456 AZ 500
C00034132 AZ 1000
C00034538 AZ 250
C00035188 AZ 500
C00035493 AZ 250
C00035667 AZ 500
C00035675 AZ 250
C00038604 AZ 250
C00039321 AZ 250
C00039552 AZ 1000
C00040253 AZ 500
C00040535 AZ 500
C00040667 AZ 1000
C00040840 AZ 500
C00040998 AZ 1000
C00041558 AZ 500
C00041566 AZ 200
C00041947 AZ 500
C00042895 AZ 1000
C00043125 AZ 550
C00045781 AZ 250
C00050310 AZ 500
C00053553 AZ 4950
C00061036 AZ 1500
C00064766 AZ 750
C00066472 AZ 500
C00068692 AZ 300
C00072025 AZ 2250
C00075473 AZ 750
C00076299 AZ 7500
C00078261 AZ 500
C00082875 AZ 1000
C00083733 AZ 500
C00085019 AZ 500
C00085290 AZ 1500
C00086348 AZ 250
C00090415 AZ 250
C00091942 AZ 200
C00092957 AZ 200
C00094144 AZ 1000
C00095869 AZ 500
C00096131 AZ 1000
C00099002 AZ 2000
C00099754 AZ 500
C00100131 AZ 500
C00100404 AZ 500
C00100826 AZ 750
C00101055 AZ 40
C00101725 AZ 1000
C00102087 AZ 500
C00104869 AZ 750
C00107128 AZ 1250
C00107219 AZ 300
C00107656 AZ 1700
C00110478 AZ 1000
C00111682 AZ 50
C00112722 AZ 1000
C00122101 AZ 250
C00123612 AZ 1000
C00125823 AZ 300
C00128975 AZ 250
C00131045 AZ 250
C00135368 AZ 130
C00137265 AZ 100
C00139535 AZ 500
C00139659 AZ 1000
C00141903 AZ 2000
C00141960 AZ 500
