Name,wDeg,deg,wPageRank,pageRank,wEig,eig,com,lCom
AZ,229415,99,0.00832400884636046,0.0103278208256192,0.0126960520203304,0.00429393927170225,2,1
CA,1837412,333,0.05568129054415,0.0363052425053706,0.114008130425973,0.0115108562878567,1,9
CT,409312,176,0.0154299130426176,0.0182015440964075,0.0150719443890349,0.00657812701335518,2,12
DE,204564,109,0.00691848807078958,0.00985642224589893,0.00646103205094311,0.00514664488882089,2,1
FL,625493,30,0.0154646265856731,0.00394516128177792,0.0531740770530124,0.00103225678963737,2,4
HI,45325,47,0.00241562517694629,0.00466417037362052,0.000354283773657119,0.00212596495009423,2,3
IN,513787,213,0.0179876169402252,0.021385226649704,0.0250495314676093,0.00835910121908221,2,4
MA,389738,47,0.0100478620567716,0.00445491124198903,0.0277516516929444,0.00214058714467021,2,12
MD,360482,116,0.0111189033028504,0.0111659266663285,0.0201103526626939,0.00513899809435187,2,6
ME,344199,230,0.0145114675782345,0.0224626611203899,0.00660636255370595,0.00942454571789125,1,12
MI,668081,171,0.0209290809910965,0.0182158006857182,0.0406810730630102,0.00608761021613641,2,8
MN,494487,239,0.0193003791896484,0.0240407111893838,0.0189587368941799,0.00900161075525953,1,3
MO,511741,202,0.0188947663403595,0.0211668015665154,0.0230959008207231,0.00768878770832385,2,7
MS,234777,96,0.00779031258110039,0.00920291360803993,0.0112893026947642,0.0039938989836269,1,7
MT,199201,84,0.00676138479822986,0.0078980486166958,0.00643536605059222,0.00364284804651714,2,11
ND,228945,133,0.00796909919832722,0.0119856207908053,0.00652020846094173,0.00596385818742714,2,14
NE,196068,105,0.00754470586503711,0.0106094931787942,0.00823728099012175,0.00420143404919825,2,11
NJ,466141,49,0.0124926111014514,0.00579882641926175,0.0350146584928889,0.00198948523652206,2,10
NM,354487,223,0.0143365312559484,0.0213070853991952,0.006435276689076,0.00925547608821851,1,13
NV,296540,176,0.0123944746337366,0.0173387256267059,0.00646888894084585,0.0069998731564405,1,5
NY,442979,83,0.0125854038648253,0.00839973643464157,0.0288855992530432,0.00337137520638323,2,9
OH,836103,218,0.026551136267841,0.0227322845163313,0.0498744281433284,0.00808483336261051,1,2
PA,815261,152,0.0235289375391454,0.0156659425293103,0.0571075491210256,0.00593116277444118,2,3
RI,219129,125,0.00776593430074055,0.0112550473861109,0.00642208489084837,0.00554559820637408,2,10
TN,481610,190,0.0157409131601667,0.0177650854847944,0.0214749044663755,0.00832747223425724,2,6
TX,975602,194,0.0295404058174871,0.0213181168437268,0.0664492721861452,0.0062877435579023,2,11
UT,364764,260,0.0160800340958588,0.0253326937820802,0.00603808642514791,0.010271192784806,1,5
VA,83909,65,0.00439025967150615,0.00693825239082561,1.09558452898606e-05,0.00231956204561469,2,6
VT,198849,100,0.00693579430500187,0.00926556567634641,0.00630198965971853,0.00444154630708245,2,12
WA,275575,43,0.0077327081482526,0.00464342003993655,0.0194158244009372,0.00175079560403168,2,13
WI,215976,15,0.00569015593095508,0.00212693373767135,0.0179929944899494,0.000421338174316819,1,14
WV,304492,155,0.0105532039497266,0.0142184605132527,0.00908656861103331,0.00665640443664286,2,6
WY,230803,135,0.00848082137039161,0.0125113596510567,0.00669211319359172,0.00625907450405651,2,5
