Name,wDeg,deg,wPageRank,pageRank,wEig,eig,com,lCom
AK,403275,228,0.00483125543565262,0.00796313894205685,2.70824801963946e-05,0.00292366054187995,2,12
AL,577145,310,0.0075151441239103,0.0114914562425344,2.96364017884825e-05,0.00361374160978765,2,9
AR,1465403,452,0.0153514150518468,0.016806328586224,7.75103654815009e-05,0.00529080959439634,1,6
AZ,626030,340,0.00844788324669602,0.012774920603831,3.35880387219804e-05,0.00378153079652775,2,2
CA,6383604,709,0.0522919276763385,0.0311874973807882,0.345216940875411,0.00712962341280128,1,10
CO,1205033,367,0.0116174390768319,0.012756198869981,8.13525478686871e-05,0.00487709694490078,1,3
CT,886510,313,0.0101423676922497,0.0118761248738371,4.25514858043506e-05,0.0036939883210187,2,11
FL,712502,311,0.00838970827035137,0.0111837950625203,3.80033612528335e-05,0.00391174203656313,2,14
GA,2190248,474,0.020699235807082,0.0174416194580633,0.000111837174978777,0.00570250771599409,1,9
HI,255285,119,0.00287811675607251,0.00413560114127448,2.13264867558821e-05,0.0016927103624329,2,13
IA,788537,428,0.0104218637070603,0.0158126882471973,4.57077353701383e-05,0.00504100157904382,2,4
ID,618522,344,0.00729609398087821,0.0121828636708809,4.54624009931221e-05,0.00442045904368196,2,3
IL,2923880,619,0.0299248271229281,0.0247605650652189,0.000136210942483602,0.00678346217649993,1,5
IN,1124557,308,0.0118252829701641,0.0117370366364102,4.2923687243515e-05,0.00385565337143533,2,6
KS,457562,245,0.00563455760393573,0.00884496246157787,3.36798172918974e-05,0.00320330149807271,2,7
KY,2177221,589,0.0226018509328827,0.0221651864176979,0.000119086484435004,0.00672189891261776,1,6
LA,805627,346,0.00974256685473409,0.0125694112245366,3.54988174080257e-05,0.00413760267478794,2,12
MD,407926,187,0.00466624076760717,0.00663831447753089,2.80947598095852e-05,0.00254885992203004,2,13
MO,2136505,544,0.0225459629884362,0.0208186349293964,8.59239008791213e-05,0.00627333740534785,1,7
NC,2786222,576,0.0274270997178898,0.0225815067115739,0.000110385151172586,0.00618809008839054,1,9
ND,438123,224,0.00490379923074243,0.00761624799042614,3.00522539548023e-05,0.00308965739178702,2,4
NH,349417,182,0.00386207289770465,0.00615537803935257,2.71905748814999e-05,0.00265194475085723,2,9
NV,1635772,564,0.019457876341233,0.0221458024860855,0.000117413155294833,0.00627601610797962,1,8
NY,5798467,575,0.0420461476772979,0.0241283418738153,0.00018292274599644,0.00590468624927953,2,11
OH,1546279,410,0.0162638862835661,0.0157383085979689,8.72130621583956e-05,0.00490139140379938,1,5
OK,526451,275,0.00592784114488899,0.00935771687513944,3.94825518032871e-05,0.00368369417399912,2,12
OR,476274,226,0.00525896564462314,0.00777688028181247,4.06189681873171e-05,0.00315021186606234,2,4
PA,1071876,460,0.0156335177677254,0.0193629693641431,6.55679853940778e-05,0.00494716740892514,2,1
SC,2678654,372,0.0214188336640071,0.0140607010763568,7.38113734449389e-05,0.00415513289991763,2,13
SD,987748,430,0.0115283821038705,0.0154176516816711,6.20701422879844e-05,0.00528927654832787,2,4
UT,411771,232,0.00512089019209476,0.00821716423153018,2.88256404466919e-05,0.00297253487177257,2,9
VT,23508,17,0.000487200416767879,0.000740748766672789,1.15232346333088e-06,0.000221359074726979,2,8
WA,1131772,248,0.0108778480475833,0.00965166726433642,4.41285587513223e-05,0.00282512285514376,2,10
WI,354689,100,0.00395065992441135,0.00392511086327044,2.21958392065115e-05,0.00113160755063237,2,4
