Name,wDeg,deg,wPageRank,pageRank,wEig,eig
AZ,1573762,499,0.0200911809353284,0.0193364758540079,0.00754555077649297,0.00637449965297641
CA,620201,252,0.00966123635849223,0.010958478772045,0.00233176489336381,0.00271743490783967
CO,20500,16,0.000449418026791014,0.000775971251042229,3.89808554390357e-05,0.000119590252072217
CT,1222466,400,0.0169187431616379,0.0166924573234763,0.00506879482456546,0.00466557482330008
DE,700730,272,0.00930411939805102,0.010447824087041,0.00339221687542042,0.00363721663179866
FL,906767,306,0.0131391628959748,0.0131452160361703,0.00379084352250536,0.00344830460810795
GA,6500,3,0.000137819537695671,0.000169032700712369,4.88505262351311e-05,5.66489150153998e-05
HI,322881,112,0.00446010069925717,0.00473541542227454,0.00171105304436315,0.0013706845207325
IN,353022,154,0.00486563550997279,0.00607327008114497,0.0018270252931813,0.00206403596854919
MA,352616,124,0.00465079699080266,0.00494443160743385,0.00170347313572187,0.00153390607074984
MD,1533056,468,0.0206945932731014,0.0197474412670845,0.00777585017615507,0.00543898509362576
ME,591609,239,0.00761991347696554,0.00905015552935491,0.00299020675383265,0.00310853008696714
MI,1176042,391,0.0170358967806228,0.0171027559238091,0.00539218606795269,0.00450161332881272
MN,1277734,376,0.0162503814077573,0.014910721229612,0.00635719310969746,0.00484841666729527
MO,2392787,721,0.0329696166191067,0.0301442344293074,0.0104263587658099,0.00816375112711182
MS,772123,262,0.00977330702915055,0.00990445803546283,0.00387699401344741,0.00354869540711289
MT,1896962,550,0.0242885287077131,0.0218173384888974,0.0101971238891182,0.00667740156295387
ND,889432,328,0.0112576511631905,0.0121854274665284,0.00405301003269737,0.00426066492740445
NE,1470596,525,0.0196666065299391,0.0208055663815971,0.00631710250124824,0.00633595014968878
NJ,1939244,547,0.0254372665664748,0.0225952185293733,0.00932933455235741,0.00651744552821507
NM,721332,308,0.00937436288463091,0.0115659776015112,0.00316699826135357,0.00384176664820244
NV,1009596,332,0.0130427133250208,0.0129729108130649,0.0049768662152557,0.0042377443684025
NY,595056,210,0.00935062827381783,0.00956737089940028,0.00233054714197655,0.00220735592814317
OH,2421872,768,0.0354158539365671,0.0339723304516972,0.0102481897132459,0.00824019901503171
PA,2020886,629,0.0300527952800564,0.0281688181575486,0.00757509601268626,0.00653323082762493
RI,1052662,302,0.0129270551672534,0.0116283189796435,0.0057142041880683,0.00411154918872147
TN,832813,277,0.0128250944367088,0.0130899004681754,0.00367844196470354,0.00271502339880681
TX,728303,277,0.0108753566514426,0.0119342944118923,0.00325341910320677,0.00334372845504688
UT,1002913,384,0.0133599020899914,0.0149399991517448,0.00435054874337829,0.0047751882082169
VA,1613621,544,0.0220833968364372,0.0221523810561215,0.00688971774410877,0.00632578148059968
VT,222182,67,0.00281032902752019,0.00266006134300522,0.00126102485870122,0.000822975561896943
WA,541762,178,0.00736291816004915,0.00736115336783136,0.00273959440607188,0.00222730876422148
WI,64141,14,0.00109199815284618,0.000841382443774928,3.86609487572019e-05,0.000111366403445174
WV,555332,192,0.00693579204750285,0.00736076722835189,0.00304705837115119,0.00253856871459879
WY,416936,175,0.0051079018244714,0.00629325254974603,0.00218194499479857,0.00254250942912873
