sendID state amount
C00000422 AZ 5000
C00000729 AZ 5000
C00001198 AZ 2300
C00004275 AZ 5000
C00004473 AZ 1000
C00004960 AZ 1000
C00005249 AZ 5000
C00007880 AZ 2250
C00009282 AZ 1000
C00009704 AZ 500
C00010470 AZ 5000
C00010520 AZ 1000
C00012245 AZ 1000
C00015933 AZ 5000
C00019372 AZ 750
C00021295 AZ 1000
C00022988 AZ 2000
C00024281 AZ 2500
C00024935 AZ 1000
C00025163 AZ 1000
C00030718 AZ 5000
C00033092 AZ 1500
C00033779 AZ 1000
C00033795 AZ 169
C00034041 AZ 2000
C00034488 AZ 3000
C00034553 AZ 2000
C00034595 AZ 3500
C00034884 AZ 1000
C00035204 AZ 1000
C00039057 AZ 1000
C00039214 AZ 1000
C00040329 AZ 1000
C00040469 AZ 1250
C00045781 AZ 1000
C00048579 AZ 5000
C00053553 AZ 1950
C00064766 AZ 500
C00068692 AZ 5000
C00072769 AZ 1000
C00075341 AZ 2000
C00078451 AZ 5000
C00079533 AZ 1000
C00079947 AZ 1000
C00082792 AZ 5000
C00082917 AZ 2000
C00085019 AZ 1000
C00085316 AZ 1000
C00088591 AZ 1000
C00089342 AZ 1000
C00089458 AZ 1000
C00089987 AZ 2000
C00093948 AZ 2000
C00096156 AZ 1000
C00097568 AZ 3000
C00098061 AZ 1000
C00100107 AZ 2000
C00101105 AZ 2000
C00101725 AZ 1000
C00103697 AZ 2000
C00104083 AZ 2500
C00106740 AZ 1000
C00107235 AZ 1500
C00107300 AZ 1500
C00108290 AZ 1000
C00110494 AZ 2500
C00111302 AZ 1000
C00113241 AZ 2000
C00113803 AZ 826
C00113811 AZ 1000
C00114132 AZ 1000
C00117408 AZ 2000
C00120238 AZ 1000
C00126763 AZ 5000
C00127811 AZ 5000
C00128231 AZ 1000
C00128512 AZ 5000
C00128678 AZ 500
C00131185 AZ 2000
C00131557 AZ 1000
C00138560 AZ 5000
C00142117 AZ 5000
C00142299 AZ 1000
C00142711 AZ 3000
C00143305 AZ 1000
C00144766 AZ 5000
C00147983 AZ 5000
C00150367 AZ 3000
C00152579 AZ 500
C00155713 AZ 200
C00161570 AZ 500
C00164152 AZ 2000
C00165621 AZ 1000
C00167668 AZ 1000
C00168070 AZ 1000
C00168575 AZ 2000
C00170480 AZ 5000
C00170696 AZ 1000
C00171926 AZ 1000
C00172775 AZ 1500
C00174227 AZ 1000
C00185124 AZ 1000
C00186288 AZ 1000
C00195263 AZ 6000
C00197715 AZ 1000
C00198606 AZ 100
C00199703 AZ 5000
C00200089 AZ 2000
C00200204 AZ 5000
C00200337 AZ 500
C00201194 AZ 1485
C00203182 AZ 1000
C00204008 AZ 1000
C00205500 AZ 1000
C00206672 AZ 1000
C00211318 AZ 5000
C00214601 AZ 1000
C00215202 AZ 875
C00215236 AZ 1000
C00216770 AZ 2000
C00217216 AZ 6000
C00217638 AZ 1000
C00221168 AZ 3500
C00224105 AZ 1000
C00227546 AZ 5000
C00227744 AZ 2000
C00236489 AZ 1000
C00237065 AZ 1000
C00239285 AZ 1000
C00241380 AZ 1000
C00250134 AZ 250
C00251876 AZ 1000
C00252866 AZ 2000
C00253153 AZ 5000
C00257329 AZ 1000
C00261339 AZ 1000
C00280222 AZ 1000
C00282004 AZ 3000
C00284885 AZ 1000
C00286849 AZ 400
C00296632 AZ 1000
C00299701 AZ 1000
C00300483 AZ 5000
C00302174 AZ 1000
C00303024 AZ 4000
C00305607 AZ 250
C00306449 AZ 2000
C00309781 AZ 250
C00318378 AZ 1000
C00321158 AZ 1000
C00325092 AZ 5000
C00326595 AZ 1000
C00327171 AZ 4000
C00327593 AZ 566
C00329425 AZ 4000
C00329979 AZ 1000
C00330118 AZ 2000
C00331462 AZ 250
C00331827 AZ 4995
C00332031 AZ 500
C00337121 AZ 1250
C00337394 AZ 1000
C00339655 AZ 2500
C00342097 AZ 1000
C00342246 AZ 1000
C00342394 AZ 500
C00343020 AZ 500
C00345603 AZ 1000
C00347112 AZ 1000
C00347401 AZ 1000
C00348524 AZ 1000
C00000372 CA 500
C00000729 CA 5000
C00000885 CA 5000
C00000901 CA 5000
C00001016 CA 5000
C00001388 CA 1000
C00002089 CA 2500
C00002238 CA 1000
C00002261 CA 1000
C00002469 CA 5000
C00002766 CA 5000
C00002840 CA 5000
C00002881 CA 2000
C00003160 CA 1000
C00003251 CA 5000
C00003418 CA 789360
C00003558 CA 5000
C00003632 CA 2000
C00004036 CA 5000
C00004325 CA 3000
C00004812 CA 1000
C00005157 CA 2000
C00005249 CA 1000
C00005660 CA 2000
C00006080 CA 2000
C00006247 CA 5000
C00007450 CA 1000
C00007542 CA 5000
C00007682 CA 100
C00007880 CA 4000
C00009035 CA 1000
C00009423 CA 2000
C00010322 CA 5000
C00010470 CA 5000
C00010983 CA 4000
C00011114 CA 5000
C00012401 CA 78
C00012476 CA 3500
C00012880 CA 1000
C00017525 CA 2000
C00019083 CA 1000
C00019653 CA 5000
C00022988 CA 500
C00023028 CA 1000
C00023580 CA 3000
C00024521 CA 5000
C00024869 CA 1000
C00025163 CA 2000
C00025536 CA 1000
C00027532 CA 2000
C00028860 CA 5000
C00029447 CA 5000
C00030718 CA 10000
C00032805 CA 1000
C00032979 CA 5000
C00033423 CA 1000
C00033779 CA 2000
C00033977 CA 1000
C00034132 CA 1000
C00034157 CA 2000
C00034256 CA 2250
C00034363 CA 3431
C00034405 CA 5000
C00034470 CA 2000
C00034595 CA 2000
C00035006 CA 2500
C00035683 CA 2000
C00038927 CA 1000
C00039206 CA 1000
C00040170 CA 1000
C00040329 CA 1000
C00040352 CA 5000
C00040923 CA 2000
C00043489 CA 3840
C00059733 CA 1000
C00060103 CA 4000
C00063586 CA 500
C00064766 CA 5000
C00065219 CA 5000
C00067231 CA 2500
C00067884 CA 4000
C00068528 CA 2000
C00072025 CA 5000
C00072751 CA 1000
C00072769 CA 1000
C00073056 CA 2000
C00075275 CA 500
C00077321 CA 5000
C00078261 CA 2000
C00078451 CA 5000
C00079541 CA 2000
C00079566 CA 1000
C00080135 CA 4000
C00080655 CA 1000
C00081547 CA 1000
C00082677 CA 2000
C00082792 CA 3000
C00083857 CA 5000
C00085316 CA 1000
C00089342 CA 2000
C00089987 CA 1000
C00092247 CA 1000
C00097568 CA 3500
C00098061 CA 2000
C00099002 CA 500
C00099234 CA 1000
C00099754 CA 100
C00100107 CA 1000
