Name,wDeg,deg,wPageRank,pageRank,wEig,eig
AZ,334866,171,0.00401316627751237,0.00613890001841231,2.83650615410948e-05,0.00213701414488212
CA,2484289,313,0.0207357303188845,0.0128175440283149,0.0361140939405915,0.00312342008207501
CT,322323,157,0.00411930619563143,0.00591150383358182,2.47843718301921e-05,0.00176203242496888
DE,1536621,545,0.0168913604838811,0.0201238742137324,0.00564431668692942,0.00621639257933243
FL,3072120,554,0.028865089832593,0.0221553551342679,0.0660574411984077,0.00574816815890909
GA,2101941,301,0.0157969366838913,0.0112322962978262,6.34184989040593e-05,0.00343493634376289
HI,119786,63,0.00158344747155948,0.00240846256736795,1.32839713738177e-05,0.000814963285373216
IN,657669,296,0.00852022758577056,0.0113611994201147,4.34448815141233e-05,0.00330948736234765
MA,358380,154,0.00462385995486937,0.00590646397142697,2.64213155618729e-05,0.00156162393216334
MD,351615,157,0.00393203124941689,0.00557507563869416,3.10599572687419e-05,0.00192298059259848
ME,561510,236,0.00575391856875316,0.00816365868176943,0.00216882265036985,0.00307257798487887
MI,3013060,745,0.0311459436679026,0.028993949857968,0.0397959490787183,0.00766350050038792
MN,1444221,408,0.0143781811647966,0.0149119456770824,0.0200580936740952,0.00474909616622316
MO,1637262,583,0.0184334943393976,0.0215069228025506,0.000123465402370686,0.00662625311486385
MS,562008,215,0.00622714542342098,0.00764598327954718,4.39822892164124e-05,0.00258057808513974
MT,1686851,563,0.0175900653905572,0.0201324079343554,0.0053547413449529,0.0064559512777261
ND,791019,362,0.00866527813013074,0.012548857807985,6.7942651480098e-05,0.00439782237155546
NE,1750522,549,0.0186729376335743,0.0203547833064246,0.00711413521016308,0.00617510330786836
NJ,1881588,371,0.0186998550043032,0.0153658058824291,0.0350971044881015,0.00379608919257456
NM,588017,298,0.00685668786340079,0.0105757498417385,5.06626014893799e-05,0.0035526314130832
NV,1325100,422,0.0130549337218686,0.0146637218052694,0.00742558286754486,0.00522566899882936
NY,7435541,742,0.0610203954143194,0.0329448758408723,0.142502885064816,0.00675763530704082
OH,785722,374,0.00974464754914361,0.0138175388959392,6.22287257346046e-05,0.00444746323466441
PA,2913528,698,0.0305342785150718,0.0284175398666975,0.0514955225567215,0.00703932879133579
RI,850970,317,0.00887505557302885,0.011416721902448,0.00568390800981042,0.00391597744401074
TN,566271,284,0.00627912427154355,0.00976624612580527,4.51038851093832e-05,0.00346533125763663
TX,468497,229,0.00626263187130959,0.00884227129760573,3.14662255813506e-05,0.00247037967653478
UT,715446,345,0.00876048138388823,0.0126776709595299,5.04647615544521e-05,0.00378950318097488
VA,2572632,694,0.0264409330018063,0.0258645411625306,0.029478015105714,0.00747280505193594
VT,795669,286,0.00806498077933448,0.00988749870780979,0.00569686130868835,0.00352340397498376
WA,1950284,469,0.0197454855939402,0.0181732992434124,0.0259157282868185,0.00493997035929557
WI,163849,18,0.0010714151505908,0.000764179816319085,3.89833420503855e-06,0.000209814611625604
WV,218180,118,0.00244702035520013,0.00403205273833741,2.31400768787494e-05,0.00157555066153741
WY,272010,142,0.00307142090199677,0.00489410029121358,2.45427609907327e-05,0.00186471938783648
