sendID state amount
C00000422 AZ 5000
C00000810 AZ 2500
C00000901 AZ 2500
C00001198 AZ 1000
C00001388 AZ 2500
C00001594 AZ 2500
C00001727 AZ 1000
C00001966 AZ 175
C00002022 AZ 5000
C00002253 AZ 500
C00002261 AZ 1000
C00003160 AZ 1000
C00003251 AZ 1000
C00003590 AZ 1000
C00003665 AZ 1000
C00003855 AZ 1000
C00004101 AZ 250
C00004275 AZ 2000
C00004473 AZ 400
C00004812 AZ 500
C00004861 AZ 4500
C00005066 AZ 250
C00005249 AZ 800
C00005728 AZ 1000
C00006338 AZ 1500
C00007880 AZ 500
C00008227 AZ 225
C00008748 AZ 500
C00008839 AZ 500
C00009357 AZ 250
C00009985 AZ 500
C00010082 AZ 375
C00010132 AZ 500
C00010322 AZ 2500
C00010421 AZ 1000
C00010983 AZ 500
C00012104 AZ 1000
C00012468 AZ 750
C00012914 AZ 1400
C00015933 AZ 333
C00016683 AZ 1000
C00019372 AZ 320
C00022798 AZ 100
C00023028 AZ 1000
C00023580 AZ 1000
C00024869 AZ 1000
C00024968 AZ 1250
C00027466 AZ 146114
C00028787 AZ 500
C00029447 AZ 500
C00030478 AZ 1000
C00030718 AZ 5000
C00030809 AZ 300
C00032656 AZ 500
C00032995 AZ 1000
C00033415 AZ 1750
C00033423 AZ 500
C00033456 AZ 500
C00033795 AZ 200
C00034132 AZ 1000
C00034173 AZ 250
C00034330 AZ 500
C00034538 AZ 250
C00035188 AZ 500
C00035493 AZ 250
C00035667 AZ 1000
C00035675 AZ 400
C00038604 AZ 250
C00039321 AZ 1250
C00039552 AZ 1000
C00040253 AZ 500
C00040329 AZ 500
C00040535 AZ 500
C00040667 AZ 1000
C00040840 AZ 500
C00040907 AZ 500
C00040923 AZ 500
C00040931 AZ 500
C00040998 AZ 1000
C00041558 AZ 500
C00041566 AZ 200
C00041947 AZ 500
C00042010 AZ 500
C00042366 AZ 37500
C00042895 AZ 1000
C00043125 AZ 550
C00045781 AZ 250
C00046276 AZ 500
C00048579 AZ 400
C00050310 AZ 500
C00053553 AZ 4950
C00059832 AZ 500
C00061036 AZ 1500
C00064766 AZ 750
C00066472 AZ 750
C00068692 AZ 450
C00072025 AZ 2250
C00075473 AZ 750
C00076299 AZ 10000
C00077982 AZ 500
C00078071 AZ 500
C00078261 AZ 500
C00082677 AZ 750
C00082875 AZ 1000
C00083733 AZ 500
C00085019 AZ 500
C00085290 AZ 1500
C00086348 AZ 250
C00088369 AZ 2500
C00089086 AZ 1000
C00089961 AZ 1000
C00090415 AZ 250
C00091561 AZ 500
C00091942 AZ 200
C00092957 AZ 200
C00093948 AZ 2000
C00094144 AZ 1000
C00095869 AZ 500
C00096131 AZ 1000
C00097238 AZ 2000
C00098061 AZ 250
C00098640 AZ 300
C00099002 AZ 3500
C00099754 AZ 500
C00100131 AZ 500
C00100404 AZ 500
C00100826 AZ 750
C00101055 AZ 40
C00101105 AZ 101
C00101725 AZ 1000
C00102087 AZ 500
C00103697 AZ 1000
C00104604 AZ 500
C00104869 AZ 1250
C00107128 AZ 1300
C00107219 AZ 300
C00107490 AZ 500
C00107656 AZ 1700
C00107870 AZ 500
C00108035 AZ 500
C00109363 AZ 500
C00110478 AZ 1000
C00110494 AZ 500
C00111682 AZ 50
C00112193 AZ 1000
C00112722 AZ 1000
C00112763 AZ 1000
C00113001 AZ 500
C00114108 AZ 500
C00116475 AZ 300
C00116962 AZ 250
C00117853 AZ 150
C00120030 AZ 250
C00121962 AZ 5000
C00122101 AZ 250
C00122614 AZ 500
C00123612 AZ 1500
C00125823 AZ 600
C00127621 AZ 1500
C00127811 AZ 2000
C00127985 AZ 500
C00128975 AZ 250
C00131045 AZ 250
C00135368 AZ 130
C00137265 AZ 100
C00138404 AZ 500
C00139535 AZ 650
C00139659 AZ 1500
C00140079 AZ 1000
C00141614 AZ 500
C00141903 AZ 2000
C00141960 AZ 500
C00142422 AZ 2000
C00142786 AZ 500
C00143149 AZ 125
C00143891 AZ 2000
C00144311 AZ 600
C00145631 AZ 200
C00145938 AZ 1000
C00147173 AZ 1000
C00147637 AZ 500
C00147975 AZ 1000
C00150656 AZ 1000
