sendID state amount
C00000422 AK 250
C00000729 AK 3500
C00000810 AK 5000
C00002261 AK 3000
C00002840 AK 5000
C00003764 AK 1000
C00005249 AK 1000
C00007070 AK 500
C00007427 AK 250
C00007450 AK 500
C00007880 AK 500
C00009761 AK 200
C00016683 AK 2500
C00019653 AK 500
C00022343 AK 2750
C00024869 AK 1500
C00025205 AK 250
C00028316 AK 1000
C00028670 AK 2500
C00028787 AK 250
C00030478 AK 3000
C00032573 AK 1500
C00032805 AK 350
C00033423 AK 1500
C00034181 AK 1000
C00034728 AK 100
C00035006 AK 1000
C00035071 AK 1500
C00035196 AK 500
C00035667 AK 1000
C00035683 AK 1000
C00038976 AK 200
C00040279 AK 500
C00042366 AK 19267
C00046946 AK 1000
C00053553 AK 600
C00075275 AK 200
C00075341 AK 1000
C00075390 AK 2025
C00077073 AK 1000
C00078279 AK 1000
C00082289 AK 2000
C00082313 AK 5000
C00095406 AK 500
C00098012 AK 1000
C00100321 AK 5000
C00101485 AK 1000
C00102087 AK 300
C00104885 AK 200
C00106146 AK 1000
C00106732 AK 2000
C00108290 AK 1000
C00110759 AK 500
C00110825 AK 200
C00110858 AK 1000
C00110965 AK 200
C00112722 AK 500
C00112896 AK 1000
C00113043 AK 250
C00115196 AK 100
C00115865 AK 1000
C00120238 AK 150
C00121962 AK 10000
C00122101 AK 500
C00122135 AK 250
C00127258 AK 500
C00127779 AK 500
C00133660 AK 1000
C99002529 AK 1000
C00000729 AL 1000
C00001875 AL 1000
C00001966 AL 710
C00002022 AL 5000
C00002253 AL 250
C00002261 AL 500
C00003251 AL 1000
C00003772 AL 2500
C00003806 AL 7500
C00004036 AL 300
C00004325 AL 4000
C00007880 AL 1000
C00009936 AL 2000
C00011114 AL 2000
C00012476 AL 500
C00012484 AL 200
C00032995 AL 500
C00033456 AL 1000
C00034272 AL 250
C00038372 AL 500
C00042366 AL 17496
C00056192 AL 500
C00067504 AL 500
C00088088 AL 250
C00089086 AL 300
C00113464 AL 500
C00113951 AL 290
C00114389 AL 5000
C00116020 AL 1000
C00116863 AL 1000
C00117424 AL 150
C00117754 AL 1000
C00121848 AL 350
C00133389 AL 250
C00003251 AR 500
C00004325 AR 4000
C00024521 AR 2500
C00025205 AR 500
C00028670 AR 1500
C00030478 AR 1000
C00107870 AR 250
C00120527 AR 400
C00121848 AR 350
C00125823 AR 300
C00002840 AZ 2000
C00003806 AZ 5000
C00007542 AZ 1000
C00027466 AZ 50107
C00108258 AZ 1000
C00113019 AZ 1000
C00113241 AZ 150
C00000810 CA 2500
C00000901 CA 500
C00002022 CA 800
C00002253 CA 1000
C00003251 CA 1000
C00003459 CA 4000
C00003806 CA 2500
C00004325 CA 2500
C00005728 CA 500
C00007328 CA 400
C00007922 CA 2500
C00008748 CA 2100
C00008839 CA 1000
C00009910 CA 300
C00009936 CA 600
C00010322 CA 150
C00012245 CA 250
C00012476 CA 750
C00019653 CA 1500
C00019976 CA 1000
C00020941 CA 250
C00022343 CA 3000
C00022798 CA 200
C00024521 CA 4500
C00024752 CA 500
C00024869 CA 1000
C00024968 CA 500
C00025163 CA 1000
C00027466 CA 433957
C00029504 CA 2500
C00029975 CA 500
C00030783 CA 250
C00032573 CA 2000
C00032979 CA 1000
C00033423 CA 500
C00034173 CA 250
C00034181 CA 250
C00034728 CA 200
C00035055 CA 500
C00040279 CA 250
C00042101 CA 250
C00042184 CA 1000
C00074757 CA 200
C00075275 CA 250
C00077073 CA 500
C00084582 CA 1000
C00088088 CA 2000
C00091652 CA 275
C00091660 CA 400
C00097444 CA 150
C00097451 CA 1500
C00098012 CA 1000
C00102087 CA 500
C00105981 CA 500
C00107581 CA 100
C00107680 CA 500
C00107870 CA 250
C00107979 CA 1000
C00110692 CA 100
C00110759 CA 500
C00111104 CA 400
C00112136 CA 150
C00112722 CA 540
C00113001 CA 500
C00113258 CA 700
C00115196 CA 200
C00117408 CA 1000
C00120238 CA 250
C00121962 CA 4727
C00122614 CA 1050
C00125831 CA 500
C00125922 CA 1000
C00126011 CA 1500
C00127258 CA 500
C00128702 CA 500
C00129817 CA 849
C00129858 CA 355
C00132498 CA 350
C00136218 CA 200
C00136580 CA 500
C00000729 CO 5000
C00000810 CO 5000
C00001966 CO 1000
C00002261 CO 500
C00002766 CO 5000
C00002832 CO 5000
C00003251 CO 1000
C00003764 CO 500
C00003806 CO 8000
C00004077 CO 2996
C00004325 CO 2500
C00005728 CO 500
C00007450 CO 250
C00008441 CO 1000
C00012245 CO 100
C00012310 CO 500
C00012476 CO 750
C00016683 CO 2500
C00018168 CO 1000
C00019653 CO 500
C00024521 CO 200
C00024968 CO 500
C00027466 CO 50641
C00028670 CO 1000
C00028787 CO 250
C00029504 CO 2000
C00029975 CO 500
C00030783 CO 500
C00032573 CO 1000
C00032805 CO 1000
C00032813 CO 10000
C00032995 CO 500
C00033134 CO 1522
C00033456 CO 500
C00034728 CO 200
C00035675 CO 500
C00040246 CO 500
C00040279 CO 400
C00042366 CO 30095
C00044826 CO 200
C00046946 CO 1000
C00053553 CO 4950
C00075341 CO 1000
C00075473 CO 2000
C00079244 CO 100
C00083543 CO 1000
C00087718 CO 2000
C00088971 CO 1000
C00089086 CO 150
C00091702 CO 2500
C00098053 CO 2500
C00101824 CO 250
C00103929 CO 1000
C00106039 CO 500
C00106864 CO 3500
C00108217 CO 500
C00108290 CO 1000
C00108399 CO 1000
C00108449 CO 600
C00109413 CO 1000
C00110262 CO 750
C00110304 CO 500
C00110478 CO 2000
C00110684 CO 10
C00110858 CO 1500
C00111930 CO 200
C00112722 CO 2000
C00112763 CO 1000
C00113282 CO 500
C00113753 CO 1000
C00113951 CO 1710
C00115196 CO 350
C00115576 CO 1000
C00115865 CO 1000
C00116061 CO 200
C00116830 CO 2000
C00116855 CO 1000
C00117432 CO 500
C00118091 CO 200
C00118117 CO 1000
C00119206 CO 5000
C00119305 CO 800
C00119339 CO 500
C00120816 CO 500
C00121962 CO 4704
C00122101 CO 250
C00124040 CO 500
C00127258 CO 1000
C00127779 CO 500
C00129700 CO 1000
C00132498 CO 350
C00135699 CO 250
C00136846 CO 200
C99002529 CO 1000
C00000422 CT 5000
C00000810 CT 5000
C00001966 CT 2500
C00002253 CT 550
C00002766 CT 7500
C00002840 CT 1500
C00002881 CT 500
C00003764 CT 1000
C00003806 CT 7500
C00004036 CT 800
C00004325 CT 5000
C00007880 CT 1000
C00007922 CT 1000
C00009704 CT 4250
C00012880 CT 500
C00019976 CT 302
C00024869 CT 900
C00025098 CT 250
C00025163 CT 1000
C00025205 CT 1000
C00027466 CT 87231
C00027532 CT 5000
C00028670 CT 2000
C00028720 CT 1000
C00029504 CT 2500
C00032573 CT 2000
C00032995 CT 500
C00033449 CT 200
C00034728 CT 200
C00035675 CT 1100
C00040279 CT 500
C00042184 CT 1000
C00042895 CT 300
C00075341 CT 500
C00075390 CT 1475
C00075473 CT 250
C00077073 CT 500
C00078451 CT 2400
C00082271 CT 1500
C00082289 CT 2000
C00084145 CT 500
C00085142 CT 500
C00095406 CT 500
C00097725 CT 500
C00100404 CT 200
C00103697 CT 1000
C00107557 CT 100
C00107581 CT 300
C00107599 CT 250
C00107870 CT 250
C00108217 CT 500
C00108290 CT 1000
C00108605 CT 935
C00111559 CT 500
C00112763 CT 1000
C00113019 CT 1000
C00113043 CT 250
C00113951 CT 239
C00114017 CT 100
C00114025 CT 100
C00115196 CT 250
C00115576 CT 1000
C00117424 CT 500
C00118208 CT 200
C00120071 CT 500
C00121962 CT 4817
C00123174 CT 100
C00125724 CT 700
C00125823 CT 200
C00125922 CT 250
C00127357 CT 500
C00128678 CT 500
C00128702 CT 500
C00129700 CT 500
C00129965 CT 25
C00133660 CT 1000
C00135699 CT 250
C00137083 CT 200
C00000042 FL 500
