Name,wDeg,deg,wPageRank,pageRank,wEig,eig
AK,538549,300,0.00730831194937117,0.0114853488101718,5.59839861725237e-05,0.00347570600268878
AL,660795,116,0.00609670952460518,0.00453233047372429,0.0116958505066889,0.00160356255688441
AR,1345491,356,0.0136242707128005,0.013687652858419,0.0147604050408277,0.00472748805157368
CA,37424,9,0.000777067825249783,0.00067304253802734,0.000299817564746078,6.61819347092e-05
CO,1734065,504,0.0172270824260296,0.0185511261198719,0.0164618975605252,0.0066531782471589
DE,203291,47,0.00200480493963203,0.00182096821603491,0.00373448958073908,0.000714361666946103
GA,2122663,368,0.0195380016212986,0.0141059602895942,0.0430010296132868,0.00492046630173586
IA,1546620,485,0.0181099013349246,0.0199827898278373,0.0129741384043124,0.00578890834364171
ID,901864,345,0.0104230869886669,0.0132664203267392,0.0087029059481058,0.00453202048164679
IL,3366747,546,0.0324820528549889,0.0228878264616162,0.0710530592486916,0.00627202232739438
KS,2353236,619,0.0267370304471746,0.025995415091369,0.0257511044766543,0.00726127736385513
KY,1565935,421,0.0156108504936339,0.0158062140211785,0.0240964429086065,0.0056193715115371
LA,1670509,418,0.017315168355335,0.0165382652851319,0.0221623276349103,0.0052023540862139
MA,1697779,306,0.0157233997408192,0.0119100969750279,0.038100993299918,0.00352752093858268
ME,1141258,393,0.0116614406674712,0.0142715779990094,0.00824967478497518,0.00533143271260405
MI,1526535,293,0.0159872300764071,0.0134135707693714,0.0327705581627666,0.00355840811217458
MN,1587873,468,0.0167461653451208,0.0180183607205897,0.0182597575668315,0.00598391596742526
MS,251541,155,0.00321399114688755,0.00571924144373017,2.61927011227668e-05,0.00205434082489234
MT,1184128,449,0.0136529738105473,0.0170953292301303,0.00777787879032149,0.00563718329277434
NC,2176591,382,0.0214141191839125,0.0161633619466713,0.0447061367802375,0.00469780307536084
NE,1233723,412,0.012853910543932,0.0150746776759027,0.00976440291552933,0.00567701239840564
NH,979223,352,0.0102768556080056,0.0127814280929703,0.00801649856653033,0.004877457728981
NJ,2823125,568,0.0292070402189961,0.0239434013842779,0.0489990887798127,0.00653541439767965
NM,575729,275,0.00693252305300738,0.0102528418520715,0.00360491665016673,0.00361409250283335
OK,870160,246,0.00853007169816146,0.00907939589951207,0.0152419885871167,0.00329305774394605
OR,1485730,444,0.0162101040572587,0.0174710151875237,0.00661592523568285,0.0056909988267086
RI,869191,306,0.00934138503400281,0.0115386986979376,0.00464700189573768,0.00393370630310813
SC,1038395,217,0.0096203157220981,0.00827589056798957,0.0224652526965706,0.00291663607259253
SD,1436897,597,0.0181318478289406,0.0234963862132036,0.00463333602455731,0.00699331790240322
TN,137077,21,0.00129040036235362,0.000900168979302245,0.00255635006890348,0.000343655002186064
TX,2180404,371,0.0213203149635495,0.0155435750256267,0.049738059255709,0.00445442715501517
VA,1451063,435,0.0159982029871899,0.0172326711463955,0.0226537914028962,0.00520968421734854
WV,398013,205,0.00558155408111366,0.0082699091402892,4.01611758353671e-05,0.00250241178568441
WY,923623,324,0.00967815229953303,0.0118082462306588,0.0079990388190656,0.00462658805605205
